,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,3524,0,0,8,392,0,0
2,0.002,76,3524,0,0,8,392,0,0
3,0.003,76,3524,0,0,8,392,0,0
4,0.004,76,3524,0,0,8,392,0,0
5,0.005,76,3524,0,0,8,392,0,0
6,0.006,76,3524,0,0,8,392,0,0
7,0.007,76,3524,0,0,8,392,0,0
8,0.008,76,3524,0,0,8,392,0,0
9,0.009,76,3524,0,0,8,392,0,0
10,0.01,74,3392,2,132,8,371,0,21
11,0.011,67,3197,9,327,8,345,0,47
12,0.012,62,2966,14,558,8,304,0,88
13,0.013,58,2789,18,735,7,288,1,104
14,0.014,54,2562,22,962,7,265,1,127
15,0.015,50,2412,26,1112,7,256,1,136
16,0.016,43,2210,33,1314,7,242,1,150
17,0.017,41,1999,35,1525,5,227,3,165
18,0.018,37,1847,39,1677,3,200,5,192
19,0.019,37,1663,39,1861,3,175,5,217
20,0.02,32,1413,44,2111,3,148,5,244
21,0.021,30,1230,46,2294,2,131,6,261
22,0.022,28,1086,48,2438,1,117,7,275
23,0.023,24,878,52,2646,1,98,7,294
24,0.024,20,717,56,2807,1,82,7,310
25,0.025,19,597,57,2927,1,72,7,320
26,0.026,17,517,59,3007,1,65,7,327
27,0.027,16,453,60,3071,1,59,7,333
28,0.028,15,399,61,3125,1,52,7,340
29,0.029,13,347,63,3177,1,44,7,348
30,0.03,13,299,63,3225,1,41,7,351
31,0.031,11,259,65,3265,1,37,7,355
32,0.032,10,236,66,3288,1,33,7,359
33,0.033,9,225,67,3299,1,32,7,360
34,0.034,8,203,68,3321,1,31,7,361
35,0.035,6,155,70,3369,1,24,7,368
36,0.036,6,114,70,3410,1,15,7,377
37,0.037,5,98,71,3426,1,10,7,382
38,0.038,4,91,72,3433,1,10,7,382
39,0.039,4,75,72,3449,1,8,7,384
40,0.04,1,48,75,3476,1,8,7,384
41,0.041,1,38,75,3486,0,7,8,385
42,0.042,0,7,76,3517,0,1,8,391
43,0.043,0,1,76,3523,0,0,8,392
44,0.044,0,0,76,3524,0,0,8,392
45,0.045,0,0,76,3524,0,0,8,392
46,0.046,0,0,76,3524,0,0,8,392
47,0.047,0,0,76,3524,0,0,8,392
48,0.048,0,0,76,3524,0,0,8,392
49,0.049,0,0,76,3524,0,0,8,392
50,0.05,0,0,76,3524,0,0,8,392
51,0.051,0,0,76,3524,0,0,8,392
52,0.052,0,0,76,3524,0,0,8,392
53,0.053,0,0,76,3524,0,0,8,392
54,0.054,0,0,76,3524,0,0,8,392
55,0.055,0,0,76,3524,0,0,8,392
56,0.056,0,0,76,3524,0,0,8,392
57,0.057,0,0,76,3524,0,0,8,392
58,0.058,0,0,76,3524,0,0,8,392
59,0.059,0,0,76,3524,0,0,8,392
60,0.06,0,0,76,3524,0,0,8,392
61,0.061,0,0,76,3524,0,0,8,392
62,0.062,0,0,76,3524,0,0,8,392
63,0.063,0,0,76,3524,0,0,8,392
64,0.064,0,0,76,3524,0,0,8,392
65,0.065,0,0,76,3524,0,0,8,392
66,0.066,0,0,76,3524,0,0,8,392
67,0.067,0,0,76,3524,0,0,8,392
68,0.068,0,0,76,3524,0,0,8,392
69,0.069,0,0,76,3524,0,0,8,392
70,0.07,0,0,76,3524,0,0,8,392
71,0.071,0,0,76,3524,0,0,8,392
72,0.072,0,0,76,3524,0,0,8,392
73,0.073,0,0,76,3524,0,0,8,392
74,0.074,0,0,76,3524,0,0,8,392
75,0.075,0,0,76,3524,0,0,8,392
76,0.076,0,0,76,3524,0,0,8,392
77,0.077,0,0,76,3524,0,0,8,392
78,0.078,0,0,76,3524,0,0,8,392
79,0.079,0,0,76,3524,0,0,8,392
80,0.08,0,0,76,3524,0,0,8,392
81,0.081,0,0,76,3524,0,0,8,392
82,0.082,0,0,76,3524,0,0,8,392
83,0.083,0,0,76,3524,0,0,8,392
84,0.084,0,0,76,3524,0,0,8,392
85,0.085,0,0,76,3524,0,0,8,392
86,0.086,0,0,76,3524,0,0,8,392
87,0.087,0,0,76,3524,0,0,8,392
88,0.088,0,0,76,3524,0,0,8,392
89,0.089,0,0,76,3524,0,0,8,392
90,0.09,0,0,76,3524,0,0,8,392
91,0.091,0,0,76,3524,0,0,8,392
92,0.092,0,0,76,3524,0,0,8,392
93,0.093,0,0,76,3524,0,0,8,392
94,0.094,0,0,76,3524,0,0,8,392
95,0.095,0,0,76,3524,0,0,8,392
96,0.096,0,0,76,3524,0,0,8,392
97,0.097,0,0,76,3524,0,0,8,392
98,0.098,0,0,76,3524,0,0,8,392
99,0.099,0,0,76,3524,0,0,8,392
100,0.1,0,0,76,3524,0,0,8,392
101,0.2,0,0,76,3524,0,0,8,392
102,0.3,0,0,76,3524,0,0,8,392
103,0.4,0,0,76,3524,0,0,8,392
104,0.5,0,0,76,3524,0,0,8,392
