,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,3524,0,0,8,392,0,0
2,0.002,76,3524,0,0,8,392,0,0
3,0.003,76,3524,0,0,8,392,0,0
4,0.004,76,3524,0,0,8,392,0,0
5,0.005,76,3524,0,0,8,392,0,0
6,0.006,76,3524,0,0,8,392,0,0
7,0.007,76,3524,0,0,8,392,0,0
8,0.008,76,3524,0,0,8,392,0,0
9,0.009,76,3524,0,0,8,392,0,0
10,0.01,76,3524,0,0,8,392,0,0
11,0.011,76,3524,0,0,8,392,0,0
12,0.012,76,3524,0,0,8,392,0,0
13,0.013,76,3524,0,0,8,392,0,0
14,0.014,76,3524,0,0,8,392,0,0
15,0.015,76,3524,0,0,8,392,0,0
16,0.016,76,3524,0,0,8,392,0,0
17,0.017,76,3524,0,0,8,392,0,0
18,0.018,76,3524,0,0,8,392,0,0
19,0.019,76,3490,0,34,8,387,0,5
20,0.02,74,3414,2,110,8,377,0,15
21,0.021,68,3270,8,254,8,361,0,31
22,0.022,62,2955,14,569,6,328,2,64
23,0.023,54,2706,22,818,6,299,2,93
24,0.024,51,2533,25,991,5,275,3,117
25,0.025,43,2358,33,1166,5,260,3,132
26,0.026,39,2214,37,1310,5,247,3,145
27,0.027,35,2076,41,1448,5,236,3,156
28,0.028,34,1961,42,1563,5,226,3,166
29,0.029,34,1894,42,1630,5,218,3,174
30,0.03,33,1752,43,1772,5,204,3,188
31,0.031,30,1639,46,1885,5,189,3,203
32,0.032,28,1476,48,2048,4,163,4,229
33,0.033,23,1338,53,2186,4,152,4,240
34,0.034,21,1232,55,2292,4,142,4,250
35,0.035,20,1103,56,2421,4,130,4,262
36,0.036,19,1013,57,2511,4,121,4,271
37,0.037,15,925,61,2599,4,104,4,288
38,0.038,12,820,64,2704,4,91,4,301
39,0.039,12,766,64,2758,2,79,6,313
40,0.04,9,677,67,2847,2,73,6,319
41,0.041,8,605,68,2919,2,64,6,328
42,0.042,5,536,71,2988,2,51,6,341
43,0.043,5,506,71,3018,1,49,7,343
44,0.044,5,413,71,3111,0,41,8,351
45,0.045,5,369,71,3155,0,35,8,357
46,0.046,2,281,74,3243,0,27,8,365
47,0.047,2,275,74,3249,0,27,8,365
48,0.048,2,214,74,3310,0,20,8,372
49,0.049,2,186,74,3338,0,16,8,376
50,0.05,2,155,74,3369,0,15,8,377
51,0.051,2,147,74,3377,0,8,8,384
52,0.052,2,128,74,3396,0,8,8,384
53,0.053,1,97,75,3427,0,4,8,388
54,0.054,1,64,75,3460,0,3,8,389
55,0.055,1,48,75,3476,0,0,8,392
56,0.056,1,22,75,3502,0,0,8,392
57,0.057,0,0,76,3524,0,0,8,392
58,0.058,0,0,76,3524,0,0,8,392
59,0.059,0,0,76,3524,0,0,8,392
60,0.06,0,0,76,3524,0,0,8,392
61,0.061,0,0,76,3524,0,0,8,392
62,0.062,0,0,76,3524,0,0,8,392
63,0.063,0,0,76,3524,0,0,8,392
64,0.064,0,0,76,3524,0,0,8,392
65,0.065,0,0,76,3524,0,0,8,392
66,0.066,0,0,76,3524,0,0,8,392
67,0.067,0,0,76,3524,0,0,8,392
68,0.068,0,0,76,3524,0,0,8,392
69,0.069,0,0,76,3524,0,0,8,392
70,0.07,0,0,76,3524,0,0,8,392
71,0.071,0,0,76,3524,0,0,8,392
72,0.072,0,0,76,3524,0,0,8,392
73,0.073,0,0,76,3524,0,0,8,392
74,0.074,0,0,76,3524,0,0,8,392
75,0.075,0,0,76,3524,0,0,8,392
76,0.076,0,0,76,3524,0,0,8,392
77,0.077,0,0,76,3524,0,0,8,392
78,0.078,0,0,76,3524,0,0,8,392
79,0.079,0,0,76,3524,0,0,8,392
80,0.08,0,0,76,3524,0,0,8,392
81,0.081,0,0,76,3524,0,0,8,392
82,0.082,0,0,76,3524,0,0,8,392
83,0.083,0,0,76,3524,0,0,8,392
84,0.084,0,0,76,3524,0,0,8,392
85,0.085,0,0,76,3524,0,0,8,392
86,0.086,0,0,76,3524,0,0,8,392
87,0.087,0,0,76,3524,0,0,8,392
88,0.088,0,0,76,3524,0,0,8,392
89,0.089,0,0,76,3524,0,0,8,392
90,0.09,0,0,76,3524,0,0,8,392
91,0.091,0,0,76,3524,0,0,8,392
92,0.092,0,0,76,3524,0,0,8,392
93,0.093,0,0,76,3524,0,0,8,392
94,0.094,0,0,76,3524,0,0,8,392
95,0.095,0,0,76,3524,0,0,8,392
96,0.096,0,0,76,3524,0,0,8,392
97,0.097,0,0,76,3524,0,0,8,392
98,0.098,0,0,76,3524,0,0,8,392
99,0.099,0,0,76,3524,0,0,8,392
100,0.1,0,0,76,3524,0,0,8,392
101,0.2,0,0,76,3524,0,0,8,392
102,0.3,0,0,76,3524,0,0,8,392
103,0.4,0,0,76,3524,0,0,8,392
104,0.5,0,0,76,3524,0,0,8,392
