,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,113,5287,0,0,12,588,0,0
1,0.001,113,5287,0,0,12,588,0,0
2,0.002,113,5287,0,0,12,588,0,0
3,0.003,113,5287,0,0,12,588,0,0
4,0.004,113,5287,0,0,12,588,0,0
5,0.005,113,5287,0,0,12,588,0,0
6,0.006,113,5287,0,0,12,588,0,0
7,0.007,113,5217,0,70,12,577,0,11
8,0.008,109,4991,4,296,11,545,1,43
9,0.009,104,4796,9,491,11,527,1,61
10,0.01,100,4545,13,742,10,504,2,84
11,0.011,92,4310,21,977,9,479,3,109
12,0.012,87,4108,26,1179,9,454,3,134
13,0.013,85,3862,28,1425,9,431,3,157
14,0.014,77,3670,36,1617,9,415,3,173
15,0.015,73,3471,40,1816,7,395,5,193
16,0.016,65,3249,48,2038,7,373,5,215
17,0.017,59,3002,54,2285,6,340,6,248
18,0.018,52,2734,61,2553,4,309,8,279
19,0.019,44,2365,69,2922,3,270,9,318
20,0.02,43,2239,70,3048,3,255,9,333
21,0.021,42,2042,71,3245,3,236,9,352
22,0.022,37,1818,76,3469,2,207,10,381
23,0.023,36,1741,77,3546,2,197,10,391
24,0.024,32,1597,81,3690,2,176,10,412
25,0.025,27,1420,86,3867,2,152,10,436
26,0.026,25,1318,88,3969,1,135,11,453
27,0.027,23,1257,90,4030,1,130,11,458
28,0.028,18,1120,95,4167,1,117,11,471
29,0.029,16,1013,97,4274,1,108,11,480
30,0.03,14,927,99,4360,1,96,11,492
31,0.031,10,844,103,4443,1,90,11,498
32,0.032,9,770,104,4517,1,83,11,505
33,0.033,8,703,105,4584,1,77,11,511
34,0.034,8,682,105,4605,1,75,11,513
35,0.035,8,632,105,4655,1,72,11,516
36,0.036,8,549,105,4738,0,63,12,525
37,0.037,8,488,105,4799,0,53,12,535
38,0.038,8,466,105,4821,0,49,12,539
39,0.039,7,390,106,4897,0,39,12,549
40,0.04,7,304,106,4983,0,30,12,558
41,0.041,6,249,107,5038,0,24,12,564
42,0.042,4,215,109,5072,0,16,12,572
43,0.043,4,159,109,5128,0,14,12,574
44,0.044,2,131,111,5156,0,11,12,577
45,0.045,0,83,113,5204,0,3,12,585
46,0.046,0,81,113,5206,0,3,12,585
47,0.047,0,39,113,5248,0,1,12,587
48,0.048,0,0,113,5287,0,0,12,588
49,0.049,0,0,113,5287,0,0,12,588
50,0.05,0,0,113,5287,0,0,12,588
51,0.051,0,0,113,5287,0,0,12,588
52,0.052,0,0,113,5287,0,0,12,588
53,0.053,0,0,113,5287,0,0,12,588
54,0.054,0,0,113,5287,0,0,12,588
55,0.055,0,0,113,5287,0,0,12,588
56,0.056,0,0,113,5287,0,0,12,588
57,0.057,0,0,113,5287,0,0,12,588
58,0.058,0,0,113,5287,0,0,12,588
59,0.059,0,0,113,5287,0,0,12,588
60,0.06,0,0,113,5287,0,0,12,588
61,0.061,0,0,113,5287,0,0,12,588
62,0.062,0,0,113,5287,0,0,12,588
63,0.063,0,0,113,5287,0,0,12,588
64,0.064,0,0,113,5287,0,0,12,588
65,0.065,0,0,113,5287,0,0,12,588
66,0.066,0,0,113,5287,0,0,12,588
67,0.067,0,0,113,5287,0,0,12,588
68,0.068,0,0,113,5287,0,0,12,588
69,0.069,0,0,113,5287,0,0,12,588
70,0.07,0,0,113,5287,0,0,12,588
71,0.071,0,0,113,5287,0,0,12,588
72,0.072,0,0,113,5287,0,0,12,588
73,0.073,0,0,113,5287,0,0,12,588
74,0.074,0,0,113,5287,0,0,12,588
75,0.075,0,0,113,5287,0,0,12,588
76,0.076,0,0,113,5287,0,0,12,588
77,0.077,0,0,113,5287,0,0,12,588
78,0.078,0,0,113,5287,0,0,12,588
79,0.079,0,0,113,5287,0,0,12,588
80,0.08,0,0,113,5287,0,0,12,588
81,0.081,0,0,113,5287,0,0,12,588
82,0.082,0,0,113,5287,0,0,12,588
83,0.083,0,0,113,5287,0,0,12,588
84,0.084,0,0,113,5287,0,0,12,588
85,0.085,0,0,113,5287,0,0,12,588
86,0.086,0,0,113,5287,0,0,12,588
87,0.087,0,0,113,5287,0,0,12,588
88,0.088,0,0,113,5287,0,0,12,588
89,0.089,0,0,113,5287,0,0,12,588
90,0.09,0,0,113,5287,0,0,12,588
91,0.091,0,0,113,5287,0,0,12,588
92,0.092,0,0,113,5287,0,0,12,588
93,0.093,0,0,113,5287,0,0,12,588
94,0.094,0,0,113,5287,0,0,12,588
95,0.095,0,0,113,5287,0,0,12,588
96,0.096,0,0,113,5287,0,0,12,588
97,0.097,0,0,113,5287,0,0,12,588
98,0.098,0,0,113,5287,0,0,12,588
99,0.099,0,0,113,5287,0,0,12,588
100,0.1,0,0,113,5287,0,0,12,588
101,0.2,0,0,113,5287,0,0,12,588
102,0.3,0,0,113,5287,0,0,12,588
103,0.4,0,0,113,5287,0,0,12,588
104,0.5,0,0,113,5287,0,0,12,588
