,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,112,5288,0,0,13,587,0,0
1,0.001,112,5288,0,0,13,587,0,0
2,0.002,112,5288,0,0,13,587,0,0
3,0.003,112,5288,0,0,13,587,0,0
4,0.004,112,5288,0,0,13,587,0,0
5,0.005,112,5288,0,0,13,587,0,0
6,0.006,112,5288,0,0,13,587,0,0
7,0.007,112,5288,0,0,13,587,0,0
8,0.008,112,5288,0,0,13,587,0,0
9,0.009,112,5288,0,0,13,587,0,0
10,0.01,112,5288,0,0,13,587,0,0
11,0.011,112,5288,0,0,13,587,0,0
12,0.012,112,5288,0,0,13,587,0,0
13,0.013,112,5288,0,0,13,587,0,0
14,0.014,112,5287,0,1,13,587,0,0
15,0.015,111,5198,1,90,13,578,0,9
16,0.016,110,5129,2,159,13,570,0,17
17,0.017,107,4942,5,346,13,549,0,38
18,0.018,96,4253,16,1035,13,465,0,122
19,0.019,76,3595,36,1693,13,381,0,206
20,0.02,68,3101,44,2187,13,342,0,245
21,0.021,57,2724,55,2564,13,298,0,289
22,0.022,49,2277,63,3011,13,245,0,342
23,0.023,43,1932,69,3356,13,219,0,368
24,0.024,37,1608,75,3680,13,182,0,405
25,0.025,36,1410,76,3878,13,152,0,435
26,0.026,28,1102,84,4186,12,121,1,466
27,0.027,23,833,89,4455,11,90,2,497
28,0.028,14,506,98,4782,11,57,2,530
29,0.029,7,271,105,5017,10,25,3,562
30,0.03,6,227,106,5061,9,24,4,563
31,0.031,4,202,108,5086,8,24,5,563
32,0.032,4,189,108,5099,6,22,7,565
33,0.033,4,168,108,5120,5,21,8,566
34,0.034,3,148,109,5140,5,19,8,568
35,0.035,3,134,109,5154,5,18,8,569
36,0.036,3,122,109,5166,4,17,9,570
37,0.037,3,111,109,5177,4,15,9,572
38,0.038,3,100,109,5188,4,15,9,572
39,0.039,3,85,109,5203,4,12,9,575
40,0.04,2,80,110,5208,4,11,9,576
41,0.041,1,68,111,5220,3,10,10,577
42,0.042,1,53,111,5235,3,9,10,578
43,0.043,1,42,111,5246,3,8,10,579
44,0.044,1,36,111,5252,3,8,10,579
45,0.045,1,29,111,5259,3,4,10,583
46,0.046,1,24,111,5264,3,3,10,584
47,0.047,1,23,111,5265,3,3,10,584
48,0.048,0,18,112,5270,3,1,10,586
49,0.049,0,15,112,5273,3,0,10,587
50,0.05,0,14,112,5274,3,0,10,587
51,0.051,0,11,112,5277,3,0,10,587
52,0.052,0,10,112,5278,2,0,11,587
53,0.053,0,9,112,5279,1,0,12,587
54,0.054,0,8,112,5280,1,0,12,587
55,0.055,0,3,112,5285,1,0,12,587
56,0.056,0,0,112,5288,1,0,12,587
57,0.057,0,0,112,5288,0,0,13,587
58,0.058,0,0,112,5288,0,0,13,587
59,0.059,0,0,112,5288,0,0,13,587
60,0.06,0,0,112,5288,0,0,13,587
61,0.061,0,0,112,5288,0,0,13,587
62,0.062,0,0,112,5288,0,0,13,587
63,0.063,0,0,112,5288,0,0,13,587
64,0.064,0,0,112,5288,0,0,13,587
65,0.065,0,0,112,5288,0,0,13,587
66,0.066,0,0,112,5288,0,0,13,587
67,0.067,0,0,112,5288,0,0,13,587
68,0.068,0,0,112,5288,0,0,13,587
69,0.069,0,0,112,5288,0,0,13,587
70,0.07,0,0,112,5288,0,0,13,587
71,0.071,0,0,112,5288,0,0,13,587
72,0.072,0,0,112,5288,0,0,13,587
73,0.073,0,0,112,5288,0,0,13,587
74,0.074,0,0,112,5288,0,0,13,587
75,0.075,0,0,112,5288,0,0,13,587
76,0.076,0,0,112,5288,0,0,13,587
77,0.077,0,0,112,5288,0,0,13,587
78,0.078,0,0,112,5288,0,0,13,587
79,0.079,0,0,112,5288,0,0,13,587
80,0.08,0,0,112,5288,0,0,13,587
81,0.081,0,0,112,5288,0,0,13,587
82,0.082,0,0,112,5288,0,0,13,587
83,0.083,0,0,112,5288,0,0,13,587
84,0.084,0,0,112,5288,0,0,13,587
85,0.085,0,0,112,5288,0,0,13,587
86,0.086,0,0,112,5288,0,0,13,587
87,0.087,0,0,112,5288,0,0,13,587
88,0.088,0,0,112,5288,0,0,13,587
89,0.089,0,0,112,5288,0,0,13,587
90,0.09,0,0,112,5288,0,0,13,587
91,0.091,0,0,112,5288,0,0,13,587
92,0.092,0,0,112,5288,0,0,13,587
93,0.093,0,0,112,5288,0,0,13,587
94,0.094,0,0,112,5288,0,0,13,587
95,0.095,0,0,112,5288,0,0,13,587
96,0.096,0,0,112,5288,0,0,13,587
97,0.097,0,0,112,5288,0,0,13,587
98,0.098,0,0,112,5288,0,0,13,587
99,0.099,0,0,112,5288,0,0,13,587
100,0.1,0,0,112,5288,0,0,13,587
101,0.2,0,0,112,5288,0,0,13,587
102,0.3,0,0,112,5288,0,0,13,587
103,0.4,0,0,112,5288,0,0,13,587
104,0.5,0,0,112,5288,0,0,13,587
