,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,112,5288,0,0,13,587,0,0
1,0.001,112,5288,0,0,13,587,0,0
2,0.002,112,5288,0,0,13,587,0,0
3,0.003,112,5288,0,0,13,587,0,0
4,0.004,112,5288,0,0,13,587,0,0
5,0.005,112,5288,0,0,13,587,0,0
6,0.006,112,5288,0,0,13,587,0,0
7,0.007,112,5288,0,0,13,587,0,0
8,0.008,112,5288,0,0,13,587,0,0
9,0.009,112,5288,0,0,13,587,0,0
10,0.01,112,5288,0,0,13,587,0,0
11,0.011,112,5288,0,0,13,587,0,0
12,0.012,112,5288,0,0,13,587,0,0
13,0.013,112,5288,0,0,13,587,0,0
14,0.014,112,5288,0,0,13,587,0,0
15,0.015,112,5288,0,0,13,587,0,0
16,0.016,104,4971,8,317,13,553,0,34
17,0.017,95,4540,17,748,13,522,0,65
18,0.018,64,3189,48,2099,13,352,0,235
19,0.019,34,1674,78,3614,13,194,0,393
20,0.02,17,812,95,4476,13,90,0,497
21,0.021,9,533,103,4755,13,54,0,533
22,0.022,7,439,105,4849,11,40,2,547
23,0.023,6,380,106,4908,9,37,4,550
24,0.024,6,366,106,4922,9,37,4,550
25,0.025,6,360,106,4928,8,36,5,551
26,0.026,6,350,106,4938,7,36,6,551
27,0.027,6,342,106,4946,7,36,6,551
28,0.028,6,317,106,4971,7,34,6,553
29,0.029,3,290,109,4998,5,31,8,556
30,0.03,3,259,109,5029,4,26,9,561
31,0.031,3,219,109,5069,4,22,9,565
32,0.032,2,201,110,5087,3,19,10,568
33,0.033,2,181,110,5107,3,15,10,572
34,0.034,2,152,110,5136,3,12,10,575
35,0.035,2,123,110,5165,3,10,10,577
36,0.036,2,99,110,5189,3,9,10,578
37,0.037,2,61,110,5227,3,3,10,584
38,0.038,2,50,110,5238,2,3,11,584
39,0.039,1,45,111,5243,2,3,11,584
40,0.04,1,35,111,5253,2,1,11,586
41,0.041,1,29,111,5259,2,0,11,587
42,0.042,1,27,111,5261,2,0,11,587
43,0.043,1,24,111,5264,2,0,11,587
44,0.044,1,21,111,5267,1,0,12,587
45,0.045,1,19,111,5269,1,0,12,587
46,0.046,0,14,112,5274,1,0,12,587
47,0.047,0,13,112,5275,1,0,12,587
48,0.048,0,12,112,5276,1,0,12,587
49,0.049,0,6,112,5282,1,0,12,587
50,0.05,0,3,112,5285,0,0,13,587
51,0.051,0,3,112,5285,0,0,13,587
52,0.052,0,0,112,5288,0,0,13,587
53,0.053,0,0,112,5288,0,0,13,587
54,0.054,0,0,112,5288,0,0,13,587
55,0.055,0,0,112,5288,0,0,13,587
56,0.056,0,0,112,5288,0,0,13,587
57,0.057,0,0,112,5288,0,0,13,587
58,0.058,0,0,112,5288,0,0,13,587
59,0.059,0,0,112,5288,0,0,13,587
60,0.06,0,0,112,5288,0,0,13,587
61,0.061,0,0,112,5288,0,0,13,587
62,0.062,0,0,112,5288,0,0,13,587
63,0.063,0,0,112,5288,0,0,13,587
64,0.064,0,0,112,5288,0,0,13,587
65,0.065,0,0,112,5288,0,0,13,587
66,0.066,0,0,112,5288,0,0,13,587
67,0.067,0,0,112,5288,0,0,13,587
68,0.068,0,0,112,5288,0,0,13,587
69,0.069,0,0,112,5288,0,0,13,587
70,0.07,0,0,112,5288,0,0,13,587
71,0.071,0,0,112,5288,0,0,13,587
72,0.072,0,0,112,5288,0,0,13,587
73,0.073,0,0,112,5288,0,0,13,587
74,0.074,0,0,112,5288,0,0,13,587
75,0.075,0,0,112,5288,0,0,13,587
76,0.076,0,0,112,5288,0,0,13,587
77,0.077,0,0,112,5288,0,0,13,587
78,0.078,0,0,112,5288,0,0,13,587
79,0.079,0,0,112,5288,0,0,13,587
80,0.08,0,0,112,5288,0,0,13,587
81,0.081,0,0,112,5288,0,0,13,587
82,0.082,0,0,112,5288,0,0,13,587
83,0.083,0,0,112,5288,0,0,13,587
84,0.084,0,0,112,5288,0,0,13,587
85,0.085,0,0,112,5288,0,0,13,587
86,0.086,0,0,112,5288,0,0,13,587
87,0.087,0,0,112,5288,0,0,13,587
88,0.088,0,0,112,5288,0,0,13,587
89,0.089,0,0,112,5288,0,0,13,587
90,0.09,0,0,112,5288,0,0,13,587
91,0.091,0,0,112,5288,0,0,13,587
92,0.092,0,0,112,5288,0,0,13,587
93,0.093,0,0,112,5288,0,0,13,587
94,0.094,0,0,112,5288,0,0,13,587
95,0.095,0,0,112,5288,0,0,13,587
96,0.096,0,0,112,5288,0,0,13,587
97,0.097,0,0,112,5288,0,0,13,587
98,0.098,0,0,112,5288,0,0,13,587
99,0.099,0,0,112,5288,0,0,13,587
100,0.1,0,0,112,5288,0,0,13,587
101,0.2,0,0,112,5288,0,0,13,587
102,0.3,0,0,112,5288,0,0,13,587
103,0.4,0,0,112,5288,0,0,13,587
104,0.5,0,0,112,5288,0,0,13,587
