,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,112,5288,0,0,13,587,0,0
1,0.001,112,5288,0,0,13,587,0,0
2,0.002,112,5288,0,0,13,587,0,0
3,0.003,112,5288,0,0,13,587,0,0
4,0.004,112,5288,0,0,13,587,0,0
5,0.005,112,5288,0,0,13,587,0,0
6,0.006,112,5288,0,0,13,587,0,0
7,0.007,112,5288,0,0,13,587,0,0
8,0.008,112,5288,0,0,13,587,0,0
9,0.009,112,5288,0,0,13,587,0,0
10,0.01,112,5288,0,0,13,587,0,0
11,0.011,112,5288,0,0,13,587,0,0
12,0.012,112,5288,0,0,13,587,0,0
13,0.013,112,5288,0,0,13,587,0,0
14,0.014,112,5288,0,0,13,587,0,0
15,0.015,112,5288,0,0,13,587,0,0
16,0.016,112,5288,0,0,13,587,0,0
17,0.017,110,5196,2,92,13,576,0,11
18,0.018,92,4288,20,1000,13,468,0,119
19,0.019,82,3407,30,1881,13,376,0,211
20,0.02,60,2505,52,2783,13,264,0,323
21,0.021,48,1809,64,3479,13,183,0,404
22,0.022,38,1361,74,3927,13,137,0,450
23,0.023,32,1049,80,4239,13,103,0,484
24,0.024,26,823,86,4465,12,77,1,510
25,0.025,20,651,92,4637,11,58,2,529
26,0.026,16,518,96,4770,11,45,2,542
27,0.027,14,418,98,4870,9,33,4,554
28,0.028,12,350,100,4938,9,31,4,556
29,0.029,10,303,102,4985,8,25,5,562
30,0.03,7,272,105,5016,8,24,5,563
31,0.031,7,231,105,5057,8,19,5,568
32,0.032,5,203,107,5085,7,19,6,568
33,0.033,5,171,107,5117,7,19,6,568
34,0.034,4,149,108,5139,6,16,7,571
35,0.035,3,125,109,5163,6,14,7,573
36,0.036,3,111,109,5177,6,13,7,574
37,0.037,2,90,110,5198,5,11,8,576
38,0.038,2,82,110,5206,5,8,8,579
39,0.039,2,73,110,5215,5,6,8,581
40,0.04,2,56,110,5232,5,4,8,583
41,0.041,2,50,110,5238,4,3,9,584
42,0.042,2,46,110,5242,3,3,10,584
43,0.043,2,42,110,5246,3,2,10,585
44,0.044,2,42,110,5246,3,1,10,586
45,0.045,2,42,110,5246,3,1,10,586
46,0.046,2,39,110,5249,3,1,10,586
47,0.047,2,37,110,5251,3,1,10,586
48,0.048,2,33,110,5255,2,1,11,586
49,0.049,1,30,111,5258,2,1,11,586
50,0.05,1,30,111,5258,2,1,11,586
51,0.051,1,29,111,5259,2,1,11,586
52,0.052,1,28,111,5260,2,1,11,586
53,0.053,1,25,111,5263,2,1,11,586
54,0.054,1,25,111,5263,2,1,11,586
55,0.055,1,25,111,5263,1,1,12,586
56,0.056,1,24,111,5264,1,1,12,586
57,0.057,1,22,111,5266,1,1,12,586
58,0.058,1,22,111,5266,0,1,13,586
59,0.059,1,21,111,5267,0,0,13,587
60,0.06,1,21,111,5267,0,0,13,587
61,0.061,1,20,111,5268,0,0,13,587
62,0.062,1,20,111,5268,0,0,13,587
63,0.063,1,18,111,5270,0,0,13,587
64,0.064,1,16,111,5272,0,0,13,587
65,0.065,1,12,111,5276,0,0,13,587
66,0.066,0,10,112,5278,0,0,13,587
67,0.067,0,6,112,5282,0,0,13,587
68,0.068,0,4,112,5284,0,0,13,587
69,0.069,0,2,112,5286,0,0,13,587
70,0.07,0,1,112,5287,0,0,13,587
71,0.071,0,1,112,5287,0,0,13,587
72,0.072,0,1,112,5287,0,0,13,587
73,0.073,0,0,112,5288,0,0,13,587
74,0.074,0,0,112,5288,0,0,13,587
75,0.075,0,0,112,5288,0,0,13,587
76,0.076,0,0,112,5288,0,0,13,587
77,0.077,0,0,112,5288,0,0,13,587
78,0.078,0,0,112,5288,0,0,13,587
79,0.079,0,0,112,5288,0,0,13,587
80,0.08,0,0,112,5288,0,0,13,587
81,0.081,0,0,112,5288,0,0,13,587
82,0.082,0,0,112,5288,0,0,13,587
83,0.083,0,0,112,5288,0,0,13,587
84,0.084,0,0,112,5288,0,0,13,587
85,0.085,0,0,112,5288,0,0,13,587
86,0.086,0,0,112,5288,0,0,13,587
87,0.087,0,0,112,5288,0,0,13,587
88,0.088,0,0,112,5288,0,0,13,587
89,0.089,0,0,112,5288,0,0,13,587
90,0.09,0,0,112,5288,0,0,13,587
91,0.091,0,0,112,5288,0,0,13,587
92,0.092,0,0,112,5288,0,0,13,587
93,0.093,0,0,112,5288,0,0,13,587
94,0.094,0,0,112,5288,0,0,13,587
95,0.095,0,0,112,5288,0,0,13,587
96,0.096,0,0,112,5288,0,0,13,587
97,0.097,0,0,112,5288,0,0,13,587
98,0.098,0,0,112,5288,0,0,13,587
99,0.099,0,0,112,5288,0,0,13,587
100,0.1,0,0,112,5288,0,0,13,587
101,0.2,0,0,112,5288,0,0,13,587
102,0.3,0,0,112,5288,0,0,13,587
103,0.4,0,0,112,5288,0,0,13,587
104,0.5,0,0,112,5288,0,0,13,587
