,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,188,8812,0,0,21,979,0,0
1,0.001,188,8812,0,0,21,979,0,0
2,0.002,188,8812,0,0,21,979,0,0
3,0.003,188,8812,0,0,21,979,0,0
4,0.004,188,8812,0,0,21,979,0,0
5,0.005,188,8812,0,0,21,979,0,0
6,0.006,188,8812,0,0,21,979,0,0
7,0.007,188,8812,0,0,21,979,0,0
8,0.008,188,8812,0,0,21,979,0,0
9,0.009,188,8812,0,0,21,979,0,0
10,0.01,188,8812,0,0,21,979,0,0
11,0.011,188,8812,0,0,21,979,0,0
12,0.012,188,8812,0,0,21,979,0,0
13,0.013,188,8812,0,0,21,979,0,0
14,0.014,188,8812,0,0,21,979,0,0
15,0.015,188,8812,0,0,21,979,0,0
16,0.016,188,8812,0,0,21,979,0,0
17,0.017,188,8812,0,0,21,979,0,0
18,0.018,188,8807,0,5,21,978,0,1
19,0.019,184,8704,4,108,21,966,0,13
20,0.02,126,6235,62,2577,21,677,0,302
21,0.021,71,3101,117,5711,21,305,0,674
22,0.022,40,1752,148,7060,21,169,0,810
23,0.023,28,1257,160,7555,21,113,0,866
24,0.024,21,888,167,7924,21,72,0,907
25,0.025,19,763,169,8049,20,56,1,923
26,0.026,15,584,173,8228,20,37,1,942
27,0.027,14,487,174,8325,20,29,1,950
28,0.028,10,437,178,8375,19,26,2,953
29,0.029,8,400,180,8412,19,18,2,961
30,0.03,7,369,181,8443,19,17,2,962
31,0.031,7,357,181,8455,19,16,2,963
32,0.032,7,349,181,8463,19,14,2,965
33,0.033,7,327,181,8485,19,14,2,965
34,0.034,6,275,182,8537,19,9,2,970
35,0.035,6,229,182,8583,19,6,2,973
36,0.036,4,207,184,8605,17,5,4,974
37,0.037,3,191,185,8621,17,5,4,974
38,0.038,3,178,185,8634,16,5,5,974
39,0.039,3,160,185,8652,14,5,7,974
40,0.04,3,144,185,8668,14,5,7,974
41,0.041,3,134,185,8678,13,5,8,974
42,0.042,3,122,185,8690,13,4,8,975
43,0.043,3,117,185,8695,12,4,9,975
44,0.044,3,105,185,8707,12,2,9,977
45,0.045,3,95,185,8717,11,2,10,977
46,0.046,3,89,185,8723,9,1,12,978
47,0.047,3,84,185,8728,8,1,13,978
48,0.048,3,77,185,8735,7,1,14,978
49,0.049,3,75,185,8737,7,1,14,978
50,0.05,2,74,186,8738,7,1,14,978
51,0.051,2,70,186,8742,6,1,15,978
52,0.052,2,65,186,8747,5,1,16,978
53,0.053,1,64,187,8748,5,1,16,978
54,0.054,1,59,187,8753,5,1,16,978
55,0.055,1,57,187,8755,5,1,16,978
56,0.056,1,52,187,8760,4,1,17,978
57,0.057,1,48,187,8764,3,1,18,978
58,0.058,1,41,187,8771,3,1,18,978
59,0.059,1,34,187,8778,2,1,19,978
60,0.06,1,31,187,8781,1,1,20,978
61,0.061,1,30,187,8782,1,1,20,978
62,0.062,1,28,187,8784,0,1,21,978
63,0.063,1,23,187,8789,0,0,21,979
64,0.064,1,13,187,8799,0,0,21,979
65,0.065,0,5,188,8807,0,0,21,979
66,0.066,0,2,188,8810,0,0,21,979
67,0.067,0,1,188,8811,0,0,21,979
68,0.068,0,0,188,8812,0,0,21,979
69,0.069,0,0,188,8812,0,0,21,979
70,0.07,0,0,188,8812,0,0,21,979
71,0.071,0,0,188,8812,0,0,21,979
72,0.072,0,0,188,8812,0,0,21,979
73,0.073,0,0,188,8812,0,0,21,979
74,0.074,0,0,188,8812,0,0,21,979
75,0.075,0,0,188,8812,0,0,21,979
76,0.076,0,0,188,8812,0,0,21,979
77,0.077,0,0,188,8812,0,0,21,979
78,0.078,0,0,188,8812,0,0,21,979
79,0.079,0,0,188,8812,0,0,21,979
80,0.08,0,0,188,8812,0,0,21,979
81,0.081,0,0,188,8812,0,0,21,979
82,0.082,0,0,188,8812,0,0,21,979
83,0.083,0,0,188,8812,0,0,21,979
84,0.084,0,0,188,8812,0,0,21,979
85,0.085,0,0,188,8812,0,0,21,979
86,0.086,0,0,188,8812,0,0,21,979
87,0.087,0,0,188,8812,0,0,21,979
88,0.088,0,0,188,8812,0,0,21,979
89,0.089,0,0,188,8812,0,0,21,979
90,0.09,0,0,188,8812,0,0,21,979
91,0.091,0,0,188,8812,0,0,21,979
92,0.092,0,0,188,8812,0,0,21,979
93,0.093,0,0,188,8812,0,0,21,979
94,0.094,0,0,188,8812,0,0,21,979
95,0.095,0,0,188,8812,0,0,21,979
96,0.096,0,0,188,8812,0,0,21,979
97,0.097,0,0,188,8812,0,0,21,979
98,0.098,0,0,188,8812,0,0,21,979
99,0.099,0,0,188,8812,0,0,21,979
100,0.1,0,0,188,8812,0,0,21,979
101,0.2,0,0,188,8812,0,0,21,979
102,0.3,0,0,188,8812,0,0,21,979
103,0.4,0,0,188,8812,0,0,21,979
104,0.5,0,0,188,8812,0,0,21,979
