,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,861,0,20,2,97,0,1
21,0.021,18,782,1,99,2,92,0,6
22,0.022,16,721,3,160,2,86,0,12
23,0.023,13,636,6,245,2,76,0,22
24,0.024,13,568,6,313,2,68,0,30
25,0.025,11,523,8,358,2,60,0,38
26,0.026,10,485,9,396,2,58,0,40
27,0.027,10,459,9,422,2,55,0,43
28,0.028,10,435,9,446,1,49,1,49
29,0.029,9,408,10,473,1,47,1,51
30,0.03,7,376,12,505,1,41,1,57
31,0.031,7,347,12,534,1,41,1,57
32,0.032,6,306,13,575,1,34,1,64
33,0.033,6,283,13,598,1,30,1,68
34,0.034,6,268,13,613,1,30,1,68
35,0.035,6,249,13,632,1,28,1,70
36,0.036,4,237,15,644,1,26,1,72
37,0.037,3,221,16,660,1,24,1,74
38,0.038,3,205,16,676,1,21,1,77
39,0.039,2,192,17,689,1,21,1,77
40,0.04,2,179,17,702,1,18,1,80
41,0.041,2,166,17,715,1,18,1,80
42,0.042,2,156,17,725,1,17,1,81
43,0.043,2,148,17,733,1,15,1,83
44,0.044,2,128,17,753,1,13,1,85
45,0.045,2,117,17,764,1,13,1,85
46,0.046,2,104,17,777,1,11,1,87
47,0.047,2,95,17,786,1,10,1,88
48,0.048,2,90,17,791,1,9,1,89
49,0.049,2,83,17,798,1,9,1,89
50,0.05,0,72,19,809,1,9,1,89
51,0.051,0,65,19,816,1,7,1,91
52,0.052,0,60,19,821,1,5,1,93
53,0.053,0,51,19,830,0,4,2,94
54,0.054,0,50,19,831,0,3,2,95
55,0.055,0,47,19,834,0,2,2,96
56,0.056,0,40,19,841,0,2,2,96
57,0.057,0,35,19,846,0,2,2,96
58,0.058,0,28,19,853,0,2,2,96
59,0.059,0,28,19,853,0,2,2,96
60,0.06,0,28,19,853,0,2,2,96
61,0.061,0,22,19,859,0,2,2,96
62,0.062,0,19,19,862,0,1,2,97
63,0.063,0,16,19,865,0,0,2,98
64,0.064,0,15,19,866,0,0,2,98
65,0.065,0,13,19,868,0,0,2,98
66,0.066,0,12,19,869,0,0,2,98
67,0.067,0,11,19,870,0,0,2,98
68,0.068,0,10,19,871,0,0,2,98
69,0.069,0,10,19,871,0,0,2,98
70,0.07,0,9,19,872,0,0,2,98
71,0.071,0,9,19,872,0,0,2,98
72,0.072,0,6,19,875,0,0,2,98
73,0.073,0,2,19,879,0,0,2,98
74,0.074,0,1,19,880,0,0,2,98
75,0.075,0,0,19,881,0,0,2,98
76,0.076,0,0,19,881,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
