,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,880,0,1,2,98,0,0
24,0.024,19,879,0,2,2,97,0,1
25,0.025,18,864,1,17,2,97,0,1
26,0.026,18,844,1,37,2,96,0,2
27,0.027,18,799,1,82,2,95,0,3
28,0.028,18,741,1,140,2,89,0,9
29,0.029,16,673,3,208,2,81,0,17
30,0.03,15,600,4,281,2,69,0,29
31,0.031,15,540,4,341,2,63,0,35
32,0.032,15,506,4,375,2,57,0,41
33,0.033,15,468,4,413,2,51,0,47
34,0.034,13,432,6,449,2,44,0,54
35,0.035,10,380,9,501,2,37,0,61
36,0.036,9,339,10,542,2,35,0,63
37,0.037,8,307,11,574,2,32,0,66
38,0.038,8,273,11,608,1,29,1,69
39,0.039,7,247,12,634,1,25,1,73
40,0.04,7,210,12,671,1,21,1,77
41,0.041,7,180,12,701,0,18,2,80
42,0.042,7,163,12,718,0,18,2,80
43,0.043,5,149,14,732,0,16,2,82
44,0.044,5,132,14,749,0,13,2,85
45,0.045,5,120,14,761,0,13,2,85
46,0.046,4,110,15,771,0,13,2,85
47,0.047,2,106,17,775,0,10,2,88
48,0.048,1,97,18,784,0,7,2,91
49,0.049,1,92,18,789,0,6,2,92
50,0.05,0,86,19,795,0,5,2,93
51,0.051,0,74,19,807,0,4,2,94
52,0.052,0,67,19,814,0,4,2,94
53,0.053,0,60,19,821,0,4,2,94
54,0.054,0,57,19,824,0,4,2,94
55,0.055,0,53,19,828,0,4,2,94
56,0.056,0,51,19,830,0,4,2,94
57,0.057,0,47,19,834,0,4,2,94
58,0.058,0,43,19,838,0,4,2,94
59,0.059,0,41,19,840,0,4,2,94
60,0.06,0,38,19,843,0,3,2,95
61,0.061,0,33,19,848,0,3,2,95
62,0.062,0,28,19,853,0,2,2,96
63,0.063,0,28,19,853,0,2,2,96
64,0.064,0,25,19,856,0,2,2,96
65,0.065,0,25,19,856,0,2,2,96
66,0.066,0,21,19,860,0,2,2,96
67,0.067,0,21,19,860,0,2,2,96
68,0.068,0,20,19,861,0,2,2,96
69,0.069,0,19,19,862,0,2,2,96
70,0.07,0,18,19,863,0,2,2,96
71,0.071,0,16,19,865,0,2,2,96
72,0.072,0,15,19,866,0,2,2,96
73,0.073,0,14,19,867,0,2,2,96
74,0.074,0,13,19,868,0,2,2,96
75,0.075,0,11,19,870,0,1,2,97
76,0.076,0,10,19,871,0,1,2,97
77,0.077,0,10,19,871,0,1,2,97
78,0.078,0,9,19,872,0,1,2,97
79,0.079,0,8,19,873,0,1,2,97
80,0.08,0,8,19,873,0,1,2,97
81,0.081,0,6,19,875,0,1,2,97
82,0.082,0,4,19,877,0,1,2,97
83,0.083,0,4,19,877,0,1,2,97
84,0.084,0,4,19,877,0,1,2,97
85,0.085,0,3,19,878,0,1,2,97
86,0.086,0,2,19,879,0,1,2,97
87,0.087,0,1,19,880,0,1,2,97
88,0.088,0,1,19,880,0,1,2,97
89,0.089,0,1,19,880,0,1,2,97
90,0.09,0,1,19,880,0,1,2,97
91,0.091,0,1,19,880,0,1,2,97
92,0.092,0,1,19,880,0,1,2,97
93,0.093,0,1,19,880,0,1,2,97
94,0.094,0,1,19,880,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
