,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,876,0,5,2,98,0,0
24,0.024,18,867,1,14,2,96,0,2
25,0.025,18,854,1,27,2,93,0,5
26,0.026,18,845,1,36,2,90,0,8
27,0.027,16,801,3,80,2,88,0,10
28,0.028,16,741,3,140,2,81,0,17
29,0.029,14,664,5,217,2,73,0,25
30,0.03,11,578,8,303,2,68,0,30
31,0.031,9,482,10,399,2,53,0,45
32,0.032,8,391,11,490,2,44,0,54
33,0.033,8,302,11,579,2,39,0,59
34,0.034,6,256,13,625,2,30,0,68
35,0.035,5,227,14,654,1,28,1,70
36,0.036,4,198,15,683,1,20,1,78
37,0.037,4,171,15,710,1,18,1,80
38,0.038,4,155,15,726,1,15,1,83
39,0.039,4,137,15,744,0,13,2,85
40,0.04,4,117,15,764,0,12,2,86
41,0.041,3,107,16,774,0,10,2,88
42,0.042,3,93,16,788,0,9,2,89
43,0.043,3,86,16,795,0,6,2,92
44,0.044,2,75,17,806,0,6,2,92
45,0.045,2,65,17,816,0,6,2,92
46,0.046,2,50,17,831,0,5,2,93
47,0.047,1,48,18,833,0,4,2,94
48,0.048,1,45,18,836,0,3,2,95
49,0.049,0,38,19,843,0,3,2,95
50,0.05,0,31,19,850,0,2,2,96
51,0.051,0,25,19,856,0,2,2,96
52,0.052,0,23,19,858,0,1,2,97
53,0.053,0,21,19,860,0,1,2,97
54,0.054,0,19,19,862,0,0,2,98
55,0.055,0,15,19,866,0,0,2,98
56,0.056,0,14,19,867,0,0,2,98
57,0.057,0,14,19,867,0,0,2,98
58,0.058,0,14,19,867,0,0,2,98
59,0.059,0,13,19,868,0,0,2,98
60,0.06,0,13,19,868,0,0,2,98
61,0.061,0,12,19,869,0,0,2,98
62,0.062,0,11,19,870,0,0,2,98
63,0.063,0,11,19,870,0,0,2,98
64,0.064,0,11,19,870,0,0,2,98
65,0.065,0,10,19,871,0,0,2,98
66,0.066,0,9,19,872,0,0,2,98
67,0.067,0,9,19,872,0,0,2,98
68,0.068,0,9,19,872,0,0,2,98
69,0.069,0,9,19,872,0,0,2,98
70,0.07,0,8,19,873,0,0,2,98
71,0.071,0,8,19,873,0,0,2,98
72,0.072,0,8,19,873,0,0,2,98
73,0.073,0,8,19,873,0,0,2,98
74,0.074,0,7,19,874,0,0,2,98
75,0.075,0,5,19,876,0,0,2,98
76,0.076,0,4,19,877,0,0,2,98
77,0.077,0,4,19,877,0,0,2,98
78,0.078,0,3,19,878,0,0,2,98
79,0.079,0,3,19,878,0,0,2,98
80,0.08,0,3,19,878,0,0,2,98
81,0.081,0,3,19,878,0,0,2,98
82,0.082,0,3,19,878,0,0,2,98
83,0.083,0,2,19,879,0,0,2,98
84,0.084,0,2,19,879,0,0,2,98
85,0.085,0,2,19,879,0,0,2,98
86,0.086,0,1,19,880,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
