,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,376,17624,0,0,42,1958,0,0
1,0.001,376,17624,0,0,42,1958,0,0
2,0.002,376,17624,0,0,42,1958,0,0
3,0.003,376,17624,0,0,42,1958,0,0
4,0.004,376,17624,0,0,42,1958,0,0
5,0.005,376,17624,0,0,42,1958,0,0
6,0.006,376,17624,0,0,42,1958,0,0
7,0.007,376,17624,0,0,42,1958,0,0
8,0.008,376,17624,0,0,42,1958,0,0
9,0.009,376,17624,0,0,42,1958,0,0
10,0.01,376,17624,0,0,42,1958,0,0
11,0.011,376,17624,0,0,42,1958,0,0
12,0.012,376,17598,0,26,42,1954,0,4
13,0.013,374,17390,2,234,42,1929,0,29
14,0.014,371,17078,5,546,42,1893,0,65
15,0.015,369,16866,7,758,42,1865,0,93
16,0.016,367,16630,9,994,40,1843,2,115
17,0.017,356,16121,20,1503,39,1799,3,159
18,0.018,342,15691,34,1933,38,1770,4,188
19,0.019,326,15253,50,2371,38,1724,4,234
20,0.02,315,14640,61,2984,37,1646,5,312
21,0.021,298,13637,78,3987,33,1531,9,427
22,0.022,289,13119,87,4505,31,1483,11,475
23,0.023,279,12498,97,5126,31,1401,11,557
24,0.024,267,11913,109,5711,31,1343,11,615
25,0.025,259,11435,117,6189,30,1286,12,672
26,0.026,239,10968,137,6656,28,1229,14,729
27,0.027,231,10572,145,7052,27,1180,15,778
28,0.028,219,9983,157,7641,26,1122,16,836
29,0.029,197,9157,179,8467,25,1017,17,941
30,0.03,182,8467,194,9157,24,918,18,1040
31,0.031,165,7990,211,9634,23,874,19,1084
32,0.032,157,7455,219,10169,23,814,19,1144
33,0.033,139,6866,237,10758,21,740,21,1218
34,0.034,118,6329,258,11295,19,682,23,1276
35,0.035,107,5865,269,11759,18,626,24,1332
36,0.036,103,5477,273,12147,17,580,25,1378
37,0.037,90,4957,286,12667,15,524,27,1434
38,0.038,85,4648,291,12976,14,484,28,1474
39,0.039,80,4385,296,13239,14,456,28,1502
40,0.04,70,3956,306,13668,13,415,29,1543
41,0.041,68,3796,308,13828,11,402,31,1556
42,0.042,55,3391,321,14233,10,364,32,1594
43,0.043,54,3139,322,14485,9,335,33,1623
44,0.044,51,2896,325,14728,8,306,34,1652
45,0.045,48,2638,328,14986,7,276,35,1682
46,0.046,40,2244,336,15380,7,240,35,1718
47,0.047,33,1904,343,15720,6,200,36,1758
48,0.048,31,1685,345,15939,6,165,36,1793
49,0.049,30,1494,346,16130,6,142,36,1816
50,0.05,23,1297,353,16327,6,119,36,1839
51,0.051,22,1192,354,16432,5,107,37,1851
52,0.052,19,1121,357,16503,3,99,39,1859
53,0.053,18,961,358,16663,3,91,39,1867
54,0.054,16,807,360,16817,2,82,40,1876
55,0.055,15,633,361,16991,2,60,40,1898
56,0.056,12,419,364,17205,2,37,40,1921
57,0.057,11,336,365,17288,0,31,42,1927
58,0.058,7,215,369,17409,0,21,42,1937
59,0.059,4,99,372,17525,0,14,42,1944
60,0.06,2,20,374,17604,0,2,42,1956
61,0.061,0,0,376,17624,0,0,42,1958
62,0.062,0,0,376,17624,0,0,42,1958
63,0.063,0,0,376,17624,0,0,42,1958
64,0.064,0,0,376,17624,0,0,42,1958
65,0.065,0,0,376,17624,0,0,42,1958
66,0.066,0,0,376,17624,0,0,42,1958
67,0.067,0,0,376,17624,0,0,42,1958
68,0.068,0,0,376,17624,0,0,42,1958
69,0.069,0,0,376,17624,0,0,42,1958
70,0.07,0,0,376,17624,0,0,42,1958
71,0.071,0,0,376,17624,0,0,42,1958
72,0.072,0,0,376,17624,0,0,42,1958
73,0.073,0,0,376,17624,0,0,42,1958
74,0.074,0,0,376,17624,0,0,42,1958
75,0.075,0,0,376,17624,0,0,42,1958
76,0.076,0,0,376,17624,0,0,42,1958
77,0.077,0,0,376,17624,0,0,42,1958
78,0.078,0,0,376,17624,0,0,42,1958
79,0.079,0,0,376,17624,0,0,42,1958
80,0.08,0,0,376,17624,0,0,42,1958
81,0.081,0,0,376,17624,0,0,42,1958
82,0.082,0,0,376,17624,0,0,42,1958
83,0.083,0,0,376,17624,0,0,42,1958
84,0.084,0,0,376,17624,0,0,42,1958
85,0.085,0,0,376,17624,0,0,42,1958
86,0.086,0,0,376,17624,0,0,42,1958
87,0.087,0,0,376,17624,0,0,42,1958
88,0.088,0,0,376,17624,0,0,42,1958
89,0.089,0,0,376,17624,0,0,42,1958
90,0.09,0,0,376,17624,0,0,42,1958
91,0.091,0,0,376,17624,0,0,42,1958
92,0.092,0,0,376,17624,0,0,42,1958
93,0.093,0,0,376,17624,0,0,42,1958
94,0.094,0,0,376,17624,0,0,42,1958
95,0.095,0,0,376,17624,0,0,42,1958
96,0.096,0,0,376,17624,0,0,42,1958
97,0.097,0,0,376,17624,0,0,42,1958
98,0.098,0,0,376,17624,0,0,42,1958
99,0.099,0,0,376,17624,0,0,42,1958
100,0.1,0,0,376,17624,0,0,42,1958
101,0.2,0,0,376,17624,0,0,42,1958
102,0.3,0,0,376,17624,0,0,42,1958
103,0.4,0,0,376,17624,0,0,42,1958
104,0.5,0,0,376,17624,0,0,42,1958
