,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,376,17624,0,0,42,1958,0,0
1,0.001,376,17624,0,0,42,1958,0,0
2,0.002,376,17624,0,0,42,1958,0,0
3,0.003,376,17624,0,0,42,1958,0,0
4,0.004,376,17624,0,0,42,1958,0,0
5,0.005,376,17624,0,0,42,1958,0,0
6,0.006,376,17624,0,0,42,1958,0,0
7,0.007,376,17624,0,0,42,1958,0,0
8,0.008,376,17624,0,0,42,1958,0,0
9,0.009,376,17624,0,0,42,1958,0,0
10,0.01,376,17624,0,0,42,1958,0,0
11,0.011,376,17624,0,0,42,1958,0,0
12,0.012,376,17624,0,0,42,1958,0,0
13,0.013,376,17624,0,0,42,1958,0,0
14,0.014,376,17624,0,0,42,1958,0,0
15,0.015,376,17624,0,0,42,1958,0,0
16,0.016,376,17624,0,0,42,1958,0,0
17,0.017,376,17624,0,0,42,1958,0,0
18,0.018,376,17624,0,0,42,1958,0,0
19,0.019,374,17556,2,68,42,1952,0,6
20,0.02,348,16423,28,1201,42,1830,0,128
21,0.021,304,14343,72,3281,42,1583,0,375
22,0.022,255,12183,121,5441,42,1336,0,622
23,0.023,201,10072,175,7552,42,1069,0,889
24,0.024,162,8095,214,9529,42,851,0,1107
25,0.025,126,6532,250,11092,42,695,0,1263
26,0.026,97,5056,279,12568,42,532,0,1426
27,0.027,66,3762,310,13862,42,403,0,1555
28,0.028,54,3032,322,14592,41,312,1,1646
29,0.029,50,2478,326,15146,41,252,1,1706
30,0.03,43,2107,333,15517,38,197,4,1761
31,0.031,35,1796,341,15828,37,167,5,1791
32,0.032,27,1562,349,16062,36,137,6,1821
33,0.033,24,1313,352,16311,35,110,7,1848
34,0.034,20,1110,356,16514,32,86,10,1872
35,0.035,17,928,359,16696,27,71,15,1887
36,0.036,16,816,360,16808,27,60,15,1898
37,0.037,16,679,360,16945,25,48,17,1910
38,0.038,10,577,366,17047,24,35,18,1923
39,0.039,10,489,366,17135,23,27,19,1931
40,0.04,10,411,366,17213,20,19,22,1939
41,0.041,8,343,368,17281,20,14,22,1944
42,0.042,7,293,369,17331,19,8,23,1950
43,0.043,4,261,372,17363,16,6,26,1952
44,0.044,4,227,372,17397,14,4,28,1954
45,0.045,4,195,372,17429,14,3,28,1955
46,0.046,3,170,373,17454,12,3,30,1955
47,0.047,3,158,373,17466,12,3,30,1955
48,0.048,3,135,373,17489,11,2,31,1956
49,0.049,3,119,373,17505,10,1,32,1957
50,0.05,2,101,374,17523,9,1,33,1957
51,0.051,2,86,374,17538,7,1,35,1957
52,0.052,1,71,375,17553,5,1,37,1957
53,0.053,1,60,375,17564,5,1,37,1957
54,0.054,1,51,375,17573,5,1,37,1957
55,0.055,0,43,376,17581,4,1,38,1957
56,0.056,0,39,376,17585,4,0,38,1958
57,0.057,0,27,376,17597,4,0,38,1958
58,0.058,0,21,376,17603,4,0,38,1958
59,0.059,0,13,376,17611,4,0,38,1958
60,0.06,0,8,376,17616,3,0,39,1958
61,0.061,0,3,376,17621,1,0,41,1958
62,0.062,0,2,376,17622,1,0,41,1958
63,0.063,0,1,376,17623,0,0,42,1958
64,0.064,0,0,376,17624,0,0,42,1958
65,0.065,0,0,376,17624,0,0,42,1958
66,0.066,0,0,376,17624,0,0,42,1958
67,0.067,0,0,376,17624,0,0,42,1958
68,0.068,0,0,376,17624,0,0,42,1958
69,0.069,0,0,376,17624,0,0,42,1958
70,0.07,0,0,376,17624,0,0,42,1958
71,0.071,0,0,376,17624,0,0,42,1958
72,0.072,0,0,376,17624,0,0,42,1958
73,0.073,0,0,376,17624,0,0,42,1958
74,0.074,0,0,376,17624,0,0,42,1958
75,0.075,0,0,376,17624,0,0,42,1958
76,0.076,0,0,376,17624,0,0,42,1958
77,0.077,0,0,376,17624,0,0,42,1958
78,0.078,0,0,376,17624,0,0,42,1958
79,0.079,0,0,376,17624,0,0,42,1958
80,0.08,0,0,376,17624,0,0,42,1958
81,0.081,0,0,376,17624,0,0,42,1958
82,0.082,0,0,376,17624,0,0,42,1958
83,0.083,0,0,376,17624,0,0,42,1958
84,0.084,0,0,376,17624,0,0,42,1958
85,0.085,0,0,376,17624,0,0,42,1958
86,0.086,0,0,376,17624,0,0,42,1958
87,0.087,0,0,376,17624,0,0,42,1958
88,0.088,0,0,376,17624,0,0,42,1958
89,0.089,0,0,376,17624,0,0,42,1958
90,0.09,0,0,376,17624,0,0,42,1958
91,0.091,0,0,376,17624,0,0,42,1958
92,0.092,0,0,376,17624,0,0,42,1958
93,0.093,0,0,376,17624,0,0,42,1958
94,0.094,0,0,376,17624,0,0,42,1958
95,0.095,0,0,376,17624,0,0,42,1958
96,0.096,0,0,376,17624,0,0,42,1958
97,0.097,0,0,376,17624,0,0,42,1958
98,0.098,0,0,376,17624,0,0,42,1958
99,0.099,0,0,376,17624,0,0,42,1958
100,0.1,0,0,376,17624,0,0,42,1958
101,0.2,0,0,376,17624,0,0,42,1958
102,0.3,0,0,376,17624,0,0,42,1958
103,0.4,0,0,376,17624,0,0,42,1958
104,0.5,0,0,376,17624,0,0,42,1958
