,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,376,17624,0,0,42,1958,0,0
1,0.001,376,17624,0,0,42,1958,0,0
2,0.002,376,17624,0,0,42,1958,0,0
3,0.003,376,17624,0,0,42,1958,0,0
4,0.004,376,17624,0,0,42,1958,0,0
5,0.005,376,17624,0,0,42,1958,0,0
6,0.006,376,17624,0,0,42,1958,0,0
7,0.007,376,17624,0,0,42,1958,0,0
8,0.008,376,17624,0,0,42,1958,0,0
9,0.009,376,17624,0,0,42,1958,0,0
10,0.01,376,17624,0,0,42,1958,0,0
11,0.011,376,17624,0,0,42,1958,0,0
12,0.012,376,17624,0,0,42,1958,0,0
13,0.013,376,17624,0,0,42,1958,0,0
14,0.014,376,17624,0,0,42,1958,0,0
15,0.015,376,17624,0,0,42,1958,0,0
16,0.016,376,17624,0,0,42,1958,0,0
17,0.017,376,17624,0,0,42,1958,0,0
18,0.018,376,17624,0,0,42,1958,0,0
19,0.019,376,17624,0,0,42,1958,0,0
20,0.02,376,17614,0,10,42,1957,0,1
21,0.021,361,17068,15,556,42,1887,0,71
22,0.022,327,15358,49,2266,42,1684,0,274
23,0.023,252,11213,124,6411,42,1196,0,762
24,0.024,146,6790,230,10834,42,716,0,1242
25,0.025,88,4299,288,13325,42,425,0,1533
26,0.026,42,2406,334,15218,41,221,1,1737
27,0.027,27,1659,349,15965,40,141,2,1817
28,0.028,21,1320,355,16304,40,103,2,1855
29,0.029,16,1114,360,16510,38,90,4,1868
30,0.03,15,988,361,16636,36,73,6,1885
31,0.031,13,858,363,16766,33,62,9,1896
32,0.032,11,709,365,16915,32,49,10,1909
33,0.033,9,617,367,17007,30,39,12,1919
34,0.034,9,537,367,17087,27,37,15,1921
35,0.035,8,481,368,17143,26,29,16,1929
36,0.036,8,412,368,17212,26,23,16,1935
37,0.037,8,374,368,17250,25,21,17,1937
38,0.038,8,342,368,17282,23,19,19,1939
39,0.039,6,313,370,17311,18,14,24,1944
40,0.04,5,283,371,17341,15,12,27,1946
41,0.041,4,257,372,17367,13,10,29,1948
42,0.042,3,235,373,17389,12,9,30,1949
43,0.043,2,218,374,17406,11,9,31,1949
44,0.044,2,199,374,17425,10,9,32,1949
45,0.045,2,181,374,17443,10,9,32,1949
46,0.046,2,175,374,17449,8,9,34,1949
47,0.047,1,163,375,17461,7,9,35,1949
48,0.048,1,152,375,17472,7,8,35,1950
49,0.049,1,142,375,17482,7,8,35,1950
50,0.05,1,129,375,17495,6,7,36,1951
51,0.051,1,113,375,17511,6,7,36,1951
52,0.052,1,108,375,17516,6,7,36,1951
53,0.053,1,98,375,17526,5,5,37,1953
54,0.054,1,88,375,17536,2,4,40,1954
55,0.055,1,78,375,17546,2,3,40,1955
56,0.056,1,69,375,17555,2,2,40,1956
57,0.057,1,56,375,17568,2,1,40,1957
58,0.058,1,50,375,17574,2,1,40,1957
59,0.059,1,44,375,17580,2,0,40,1958
60,0.06,1,35,375,17589,0,0,42,1958
61,0.061,1,33,375,17591,0,0,42,1958
62,0.062,1,28,375,17596,0,0,42,1958
63,0.063,0,21,376,17603,0,0,42,1958
64,0.064,0,14,376,17610,0,0,42,1958
65,0.065,0,9,376,17615,0,0,42,1958
66,0.066,0,8,376,17616,0,0,42,1958
67,0.067,0,5,376,17619,0,0,42,1958
68,0.068,0,3,376,17621,0,0,42,1958
69,0.069,0,1,376,17623,0,0,42,1958
70,0.07,0,1,376,17623,0,0,42,1958
71,0.071,0,0,376,17624,0,0,42,1958
72,0.072,0,0,376,17624,0,0,42,1958
73,0.073,0,0,376,17624,0,0,42,1958
74,0.074,0,0,376,17624,0,0,42,1958
75,0.075,0,0,376,17624,0,0,42,1958
76,0.076,0,0,376,17624,0,0,42,1958
77,0.077,0,0,376,17624,0,0,42,1958
78,0.078,0,0,376,17624,0,0,42,1958
79,0.079,0,0,376,17624,0,0,42,1958
80,0.08,0,0,376,17624,0,0,42,1958
81,0.081,0,0,376,17624,0,0,42,1958
82,0.082,0,0,376,17624,0,0,42,1958
83,0.083,0,0,376,17624,0,0,42,1958
84,0.084,0,0,376,17624,0,0,42,1958
85,0.085,0,0,376,17624,0,0,42,1958
86,0.086,0,0,376,17624,0,0,42,1958
87,0.087,0,0,376,17624,0,0,42,1958
88,0.088,0,0,376,17624,0,0,42,1958
89,0.089,0,0,376,17624,0,0,42,1958
90,0.09,0,0,376,17624,0,0,42,1958
91,0.091,0,0,376,17624,0,0,42,1958
92,0.092,0,0,376,17624,0,0,42,1958
93,0.093,0,0,376,17624,0,0,42,1958
94,0.094,0,0,376,17624,0,0,42,1958
95,0.095,0,0,376,17624,0,0,42,1958
96,0.096,0,0,376,17624,0,0,42,1958
97,0.097,0,0,376,17624,0,0,42,1958
98,0.098,0,0,376,17624,0,0,42,1958
99,0.099,0,0,376,17624,0,0,42,1958
100,0.1,0,0,376,17624,0,0,42,1958
101,0.2,0,0,376,17624,0,0,42,1958
102,0.3,0,0,376,17624,0,0,42,1958
103,0.4,0,0,376,17624,0,0,42,1958
104,0.5,0,0,376,17624,0,0,42,1958
