,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,38,1762,0,0,4,196,0,0
1,0.001,38,1762,0,0,4,196,0,0
2,0.002,38,1762,0,0,4,196,0,0
3,0.003,38,1762,0,0,4,196,0,0
4,0.004,38,1762,0,0,4,196,0,0
5,0.005,38,1762,0,0,4,196,0,0
6,0.006,38,1762,0,0,4,196,0,0
7,0.007,38,1762,0,0,4,196,0,0
8,0.008,38,1762,0,0,4,196,0,0
9,0.009,38,1762,0,0,4,196,0,0
10,0.01,38,1762,0,0,4,196,0,0
11,0.011,38,1762,0,0,4,196,0,0
12,0.012,38,1762,0,0,4,196,0,0
13,0.013,38,1762,0,0,4,196,0,0
14,0.014,37,1759,1,3,4,196,0,0
15,0.015,37,1625,1,137,4,176,0,20
16,0.016,36,1541,2,221,4,171,0,25
17,0.017,33,1443,5,319,4,161,0,35
18,0.018,31,1412,7,350,4,157,0,39
19,0.019,30,1338,8,424,4,150,0,46
20,0.02,29,1301,9,461,4,148,0,48
21,0.021,29,1263,9,499,4,145,0,51
22,0.022,29,1200,9,562,4,138,0,58
23,0.023,29,1128,9,634,4,127,0,69
24,0.024,24,1038,14,724,3,116,1,80
25,0.025,24,951,14,811,3,105,1,91
26,0.026,20,864,18,898,3,98,1,98
27,0.027,17,715,21,1047,3,88,1,108
28,0.028,15,586,23,1176,3,80,1,116
29,0.029,12,505,26,1257,1,68,3,128
30,0.03,11,404,27,1358,0,63,4,133
31,0.031,10,301,28,1461,0,47,4,149
32,0.032,7,216,31,1546,0,31,4,165
33,0.033,6,180,32,1582,0,26,4,170
34,0.034,5,160,33,1602,0,22,4,174
35,0.035,5,132,33,1630,0,21,4,175
36,0.036,5,120,33,1642,0,17,4,179
37,0.037,4,95,34,1667,0,11,4,185
38,0.038,3,81,35,1681,0,8,4,188
39,0.039,0,57,38,1705,0,6,4,190
40,0.04,0,36,38,1726,0,4,4,192
41,0.041,0,26,38,1736,0,3,4,193
42,0.042,0,20,38,1742,0,3,4,193
43,0.043,0,15,38,1747,0,3,4,193
44,0.044,0,15,38,1747,0,3,4,193
45,0.045,0,14,38,1748,0,3,4,193
46,0.046,0,13,38,1749,0,3,4,193
47,0.047,0,12,38,1750,0,1,4,195
48,0.048,0,8,38,1754,0,1,4,195
49,0.049,0,5,38,1757,0,1,4,195
50,0.05,0,5,38,1757,0,0,4,196
51,0.051,0,5,38,1757,0,0,4,196
52,0.052,0,5,38,1757,0,0,4,196
53,0.053,0,5,38,1757,0,0,4,196
54,0.054,0,4,38,1758,0,0,4,196
55,0.055,0,0,38,1762,0,0,4,196
56,0.056,0,0,38,1762,0,0,4,196
57,0.057,0,0,38,1762,0,0,4,196
58,0.058,0,0,38,1762,0,0,4,196
59,0.059,0,0,38,1762,0,0,4,196
60,0.06,0,0,38,1762,0,0,4,196
61,0.061,0,0,38,1762,0,0,4,196
62,0.062,0,0,38,1762,0,0,4,196
63,0.063,0,0,38,1762,0,0,4,196
64,0.064,0,0,38,1762,0,0,4,196
65,0.065,0,0,38,1762,0,0,4,196
66,0.066,0,0,38,1762,0,0,4,196
67,0.067,0,0,38,1762,0,0,4,196
68,0.068,0,0,38,1762,0,0,4,196
69,0.069,0,0,38,1762,0,0,4,196
70,0.07,0,0,38,1762,0,0,4,196
71,0.071,0,0,38,1762,0,0,4,196
72,0.072,0,0,38,1762,0,0,4,196
73,0.073,0,0,38,1762,0,0,4,196
74,0.074,0,0,38,1762,0,0,4,196
75,0.075,0,0,38,1762,0,0,4,196
76,0.076,0,0,38,1762,0,0,4,196
77,0.077,0,0,38,1762,0,0,4,196
78,0.078,0,0,38,1762,0,0,4,196
79,0.079,0,0,38,1762,0,0,4,196
80,0.08,0,0,38,1762,0,0,4,196
81,0.081,0,0,38,1762,0,0,4,196
82,0.082,0,0,38,1762,0,0,4,196
83,0.083,0,0,38,1762,0,0,4,196
84,0.084,0,0,38,1762,0,0,4,196
85,0.085,0,0,38,1762,0,0,4,196
86,0.086,0,0,38,1762,0,0,4,196
87,0.087,0,0,38,1762,0,0,4,196
88,0.088,0,0,38,1762,0,0,4,196
89,0.089,0,0,38,1762,0,0,4,196
90,0.09,0,0,38,1762,0,0,4,196
91,0.091,0,0,38,1762,0,0,4,196
92,0.092,0,0,38,1762,0,0,4,196
93,0.093,0,0,38,1762,0,0,4,196
94,0.094,0,0,38,1762,0,0,4,196
95,0.095,0,0,38,1762,0,0,4,196
96,0.096,0,0,38,1762,0,0,4,196
97,0.097,0,0,38,1762,0,0,4,196
98,0.098,0,0,38,1762,0,0,4,196
99,0.099,0,0,38,1762,0,0,4,196
100,0.1,0,0,38,1762,0,0,4,196
101,0.2,0,0,38,1762,0,0,4,196
102,0.3,0,0,38,1762,0,0,4,196
103,0.4,0,0,38,1762,0,0,4,196
104,0.5,0,0,38,1762,0,0,4,196
