,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,3524,0,0,8,392,0,0
2,0.002,76,3524,0,0,8,392,0,0
3,0.003,76,3524,0,0,8,392,0,0
4,0.004,76,3524,0,0,8,392,0,0
5,0.005,76,3524,0,0,8,392,0,0
6,0.006,76,3524,0,0,8,392,0,0
7,0.007,76,3524,0,0,8,392,0,0
8,0.008,76,3524,0,0,8,392,0,0
9,0.009,76,3524,0,0,8,392,0,0
10,0.01,76,3524,0,0,8,392,0,0
11,0.011,76,3524,0,0,8,392,0,0
12,0.012,67,3187,9,337,8,344,0,48
13,0.013,57,2719,19,805,7,299,1,93
14,0.014,53,2384,23,1140,7,260,1,132
15,0.015,42,2053,34,1471,6,230,2,162
16,0.016,31,1664,45,1860,2,180,6,212
17,0.017,28,1372,48,2152,2,148,6,244
18,0.018,25,1121,51,2403,2,124,6,268
19,0.019,22,961,54,2563,2,106,6,286
20,0.02,19,841,57,2683,2,94,6,298
21,0.021,19,756,57,2768,2,88,6,304
22,0.022,18,685,58,2839,2,84,6,308
23,0.023,15,633,61,2891,2,81,6,311
24,0.024,13,563,63,2961,2,69,6,323
25,0.025,13,472,63,3052,0,59,8,333
26,0.026,10,386,66,3138,0,49,8,343
27,0.027,10,327,66,3197,0,39,8,353
28,0.028,10,296,66,3228,0,38,8,354
29,0.029,8,252,68,3272,0,35,8,357
30,0.03,6,228,70,3296,0,32,8,360
31,0.031,5,205,71,3319,0,29,8,363
32,0.032,4,180,72,3344,0,23,8,369
33,0.033,4,175,72,3349,0,20,8,372
34,0.034,4,167,72,3357,0,19,8,373
35,0.035,4,133,72,3391,0,15,8,377
36,0.036,4,117,72,3407,0,14,8,378
37,0.037,4,115,72,3409,0,14,8,378
38,0.038,3,96,73,3428,0,12,8,380
39,0.039,2,85,74,3439,0,10,8,382
40,0.04,2,64,74,3460,0,8,8,384
41,0.041,2,58,74,3466,0,7,8,385
42,0.042,2,50,74,3474,0,4,8,388
43,0.043,2,47,74,3477,0,2,8,390
44,0.044,2,47,74,3477,0,2,8,390
45,0.045,2,42,74,3482,0,2,8,390
46,0.046,1,30,75,3494,0,1,8,391
47,0.047,1,24,75,3500,0,1,8,391
48,0.048,1,23,75,3501,0,1,8,391
49,0.049,1,23,75,3501,0,1,8,391
50,0.05,1,23,75,3501,0,1,8,391
51,0.051,1,23,75,3501,0,1,8,391
52,0.052,1,21,75,3503,0,1,8,391
53,0.053,0,5,76,3519,0,0,8,392
54,0.054,0,3,76,3521,0,0,8,392
55,0.055,0,2,76,3522,0,0,8,392
56,0.056,0,2,76,3522,0,0,8,392
57,0.057,0,0,76,3524,0,0,8,392
58,0.058,0,0,76,3524,0,0,8,392
59,0.059,0,0,76,3524,0,0,8,392
60,0.06,0,0,76,3524,0,0,8,392
61,0.061,0,0,76,3524,0,0,8,392
62,0.062,0,0,76,3524,0,0,8,392
63,0.063,0,0,76,3524,0,0,8,392
64,0.064,0,0,76,3524,0,0,8,392
65,0.065,0,0,76,3524,0,0,8,392
66,0.066,0,0,76,3524,0,0,8,392
67,0.067,0,0,76,3524,0,0,8,392
68,0.068,0,0,76,3524,0,0,8,392
69,0.069,0,0,76,3524,0,0,8,392
70,0.07,0,0,76,3524,0,0,8,392
71,0.071,0,0,76,3524,0,0,8,392
72,0.072,0,0,76,3524,0,0,8,392
73,0.073,0,0,76,3524,0,0,8,392
74,0.074,0,0,76,3524,0,0,8,392
75,0.075,0,0,76,3524,0,0,8,392
76,0.076,0,0,76,3524,0,0,8,392
77,0.077,0,0,76,3524,0,0,8,392
78,0.078,0,0,76,3524,0,0,8,392
79,0.079,0,0,76,3524,0,0,8,392
80,0.08,0,0,76,3524,0,0,8,392
81,0.081,0,0,76,3524,0,0,8,392
82,0.082,0,0,76,3524,0,0,8,392
83,0.083,0,0,76,3524,0,0,8,392
84,0.084,0,0,76,3524,0,0,8,392
85,0.085,0,0,76,3524,0,0,8,392
86,0.086,0,0,76,3524,0,0,8,392
87,0.087,0,0,76,3524,0,0,8,392
88,0.088,0,0,76,3524,0,0,8,392
89,0.089,0,0,76,3524,0,0,8,392
90,0.09,0,0,76,3524,0,0,8,392
91,0.091,0,0,76,3524,0,0,8,392
92,0.092,0,0,76,3524,0,0,8,392
93,0.093,0,0,76,3524,0,0,8,392
94,0.094,0,0,76,3524,0,0,8,392
95,0.095,0,0,76,3524,0,0,8,392
96,0.096,0,0,76,3524,0,0,8,392
97,0.097,0,0,76,3524,0,0,8,392
98,0.098,0,0,76,3524,0,0,8,392
99,0.099,0,0,76,3524,0,0,8,392
100,0.1,0,0,76,3524,0,0,8,392
101,0.2,0,0,76,3524,0,0,8,392
102,0.3,0,0,76,3524,0,0,8,392
103,0.4,0,0,76,3524,0,0,8,392
104,0.5,0,0,76,3524,0,0,8,392
