,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,3524,0,0,8,392,0,0
2,0.002,76,3524,0,0,8,392,0,0
3,0.003,76,3524,0,0,8,392,0,0
4,0.004,76,3524,0,0,8,392,0,0
5,0.005,76,3524,0,0,8,392,0,0
6,0.006,76,3524,0,0,8,392,0,0
7,0.007,76,3524,0,0,8,392,0,0
8,0.008,76,3524,0,0,8,392,0,0
9,0.009,76,3524,0,0,8,392,0,0
10,0.01,76,3406,0,118,6,380,2,12
11,0.011,68,3161,8,363,6,365,2,27
12,0.012,68,3035,8,489,6,349,2,43
13,0.013,68,2900,8,624,6,336,2,56
14,0.014,65,2807,11,717,6,326,2,66
15,0.015,63,2758,13,766,6,313,2,79
16,0.016,61,2669,15,855,6,299,2,93
17,0.017,59,2602,17,922,4,290,4,102
18,0.018,51,2478,25,1046,4,276,4,116
19,0.019,48,2404,28,1120,4,272,4,120
20,0.02,47,2337,29,1187,4,263,4,129
21,0.021,46,2286,30,1238,3,258,5,134
22,0.022,41,2239,35,1285,3,252,5,140
23,0.023,40,2197,36,1327,3,248,5,144
24,0.024,37,2127,39,1397,2,239,6,153
25,0.025,36,2050,40,1474,2,232,6,160
26,0.026,35,2006,41,1518,2,226,6,166
27,0.027,33,1930,43,1594,1,221,7,171
28,0.028,31,1861,45,1663,1,213,7,179
29,0.029,31,1769,45,1755,1,204,7,188
30,0.03,31,1657,45,1867,1,185,7,207
31,0.031,29,1501,47,2023,1,169,7,223
32,0.032,24,1347,52,2177,1,151,7,241
33,0.033,21,1173,55,2351,1,133,7,259
34,0.034,18,1023,58,2501,1,119,7,273
35,0.035,14,904,62,2620,1,112,7,280
36,0.036,12,777,64,2747,1,95,7,297
37,0.037,11,646,65,2878,0,76,8,316
38,0.038,10,559,66,2965,0,73,8,319
39,0.039,10,500,66,3024,0,66,8,326
40,0.04,8,447,68,3077,0,64,8,328
41,0.041,8,374,68,3150,0,55,8,337
42,0.042,8,334,68,3190,0,42,8,350
43,0.043,7,297,69,3227,0,36,8,356
44,0.044,6,248,70,3276,0,34,8,358
45,0.045,6,201,70,3323,0,26,8,366
46,0.046,4,162,72,3362,0,15,8,377
47,0.047,2,143,74,3381,0,13,8,379
48,0.048,1,123,75,3401,0,11,8,381
49,0.049,1,111,75,3413,0,9,8,383
50,0.05,1,87,75,3437,0,7,8,385
51,0.051,1,64,75,3460,0,4,8,388
52,0.052,1,59,75,3465,0,4,8,388
53,0.053,1,51,75,3473,0,4,8,388
54,0.054,1,41,75,3483,0,4,8,388
55,0.055,1,34,75,3490,0,2,8,390
56,0.056,0,9,76,3515,0,2,8,390
57,0.057,0,0,76,3524,0,0,8,392
58,0.058,0,0,76,3524,0,0,8,392
59,0.059,0,0,76,3524,0,0,8,392
60,0.06,0,0,76,3524,0,0,8,392
61,0.061,0,0,76,3524,0,0,8,392
62,0.062,0,0,76,3524,0,0,8,392
63,0.063,0,0,76,3524,0,0,8,392
64,0.064,0,0,76,3524,0,0,8,392
65,0.065,0,0,76,3524,0,0,8,392
66,0.066,0,0,76,3524,0,0,8,392
67,0.067,0,0,76,3524,0,0,8,392
68,0.068,0,0,76,3524,0,0,8,392
69,0.069,0,0,76,3524,0,0,8,392
70,0.07,0,0,76,3524,0,0,8,392
71,0.071,0,0,76,3524,0,0,8,392
72,0.072,0,0,76,3524,0,0,8,392
73,0.073,0,0,76,3524,0,0,8,392
74,0.074,0,0,76,3524,0,0,8,392
75,0.075,0,0,76,3524,0,0,8,392
76,0.076,0,0,76,3524,0,0,8,392
77,0.077,0,0,76,3524,0,0,8,392
78,0.078,0,0,76,3524,0,0,8,392
79,0.079,0,0,76,3524,0,0,8,392
80,0.08,0,0,76,3524,0,0,8,392
81,0.081,0,0,76,3524,0,0,8,392
82,0.082,0,0,76,3524,0,0,8,392
83,0.083,0,0,76,3524,0,0,8,392
84,0.084,0,0,76,3524,0,0,8,392
85,0.085,0,0,76,3524,0,0,8,392
86,0.086,0,0,76,3524,0,0,8,392
87,0.087,0,0,76,3524,0,0,8,392
88,0.088,0,0,76,3524,0,0,8,392
89,0.089,0,0,76,3524,0,0,8,392
90,0.09,0,0,76,3524,0,0,8,392
91,0.091,0,0,76,3524,0,0,8,392
92,0.092,0,0,76,3524,0,0,8,392
93,0.093,0,0,76,3524,0,0,8,392
94,0.094,0,0,76,3524,0,0,8,392
95,0.095,0,0,76,3524,0,0,8,392
96,0.096,0,0,76,3524,0,0,8,392
97,0.097,0,0,76,3524,0,0,8,392
98,0.098,0,0,76,3524,0,0,8,392
99,0.099,0,0,76,3524,0,0,8,392
100,0.1,0,0,76,3524,0,0,8,392
101,0.2,0,0,76,3524,0,0,8,392
102,0.3,0,0,76,3524,0,0,8,392
103,0.4,0,0,76,3524,0,0,8,392
104,0.5,0,0,76,3524,0,0,8,392
