,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,3524,0,0,8,392,0,0
2,0.002,76,3524,0,0,8,392,0,0
3,0.003,76,3524,0,0,8,392,0,0
4,0.004,76,3524,0,0,8,392,0,0
5,0.005,76,3524,0,0,8,392,0,0
6,0.006,76,3524,0,0,8,392,0,0
7,0.007,76,3524,0,0,8,392,0,0
8,0.008,76,3524,0,0,8,392,0,0
9,0.009,76,3524,0,0,8,392,0,0
10,0.01,76,3524,0,0,8,392,0,0
11,0.011,76,3524,0,0,8,392,0,0
12,0.012,76,3524,0,0,8,392,0,0
13,0.013,76,3523,0,1,8,392,0,0
14,0.014,66,3254,10,270,8,361,0,31
15,0.015,63,3077,13,447,8,330,0,62
16,0.016,56,2844,20,680,8,308,0,84
17,0.017,54,2690,22,834,8,294,0,98
18,0.018,52,2445,24,1079,7,270,1,122
19,0.019,51,2323,25,1201,6,256,2,136
20,0.02,49,2111,27,1413,6,235,2,157
21,0.021,43,1961,33,1563,6,211,2,181
22,0.022,38,1609,38,1915,5,180,3,212
23,0.023,27,1195,49,2329,1,132,7,260
24,0.024,21,1006,55,2518,1,106,7,286
25,0.025,16,832,60,2692,1,86,7,306
26,0.026,11,733,65,2791,1,74,7,318
27,0.027,10,644,66,2880,1,64,7,328
28,0.028,8,549,68,2975,1,60,7,332
29,0.029,7,464,69,3060,1,44,7,348
30,0.03,7,384,69,3140,1,39,7,353
31,0.031,7,346,69,3178,1,39,7,353
32,0.032,7,304,69,3220,1,33,7,359
33,0.033,4,271,72,3253,1,30,7,362
34,0.034,2,226,74,3298,1,27,7,365
35,0.035,2,166,74,3358,1,20,7,372
36,0.036,1,121,75,3403,0,11,8,381
37,0.037,0,78,76,3446,0,8,8,384
38,0.038,0,48,76,3476,0,5,8,387
39,0.039,0,38,76,3486,0,5,8,387
40,0.04,0,30,76,3494,0,5,8,387
41,0.041,0,21,76,3503,0,3,8,389
42,0.042,0,13,76,3511,0,1,8,391
43,0.043,0,8,76,3516,0,1,8,391
44,0.044,0,7,76,3517,0,1,8,391
45,0.045,0,6,76,3518,0,1,8,391
46,0.046,0,5,76,3519,0,1,8,391
47,0.047,0,1,76,3523,0,0,8,392
48,0.048,0,0,76,3524,0,0,8,392
49,0.049,0,0,76,3524,0,0,8,392
50,0.05,0,0,76,3524,0,0,8,392
51,0.051,0,0,76,3524,0,0,8,392
52,0.052,0,0,76,3524,0,0,8,392
53,0.053,0,0,76,3524,0,0,8,392
54,0.054,0,0,76,3524,0,0,8,392
55,0.055,0,0,76,3524,0,0,8,392
56,0.056,0,0,76,3524,0,0,8,392
57,0.057,0,0,76,3524,0,0,8,392
58,0.058,0,0,76,3524,0,0,8,392
59,0.059,0,0,76,3524,0,0,8,392
60,0.06,0,0,76,3524,0,0,8,392
61,0.061,0,0,76,3524,0,0,8,392
62,0.062,0,0,76,3524,0,0,8,392
63,0.063,0,0,76,3524,0,0,8,392
64,0.064,0,0,76,3524,0,0,8,392
65,0.065,0,0,76,3524,0,0,8,392
66,0.066,0,0,76,3524,0,0,8,392
67,0.067,0,0,76,3524,0,0,8,392
68,0.068,0,0,76,3524,0,0,8,392
69,0.069,0,0,76,3524,0,0,8,392
70,0.07,0,0,76,3524,0,0,8,392
71,0.071,0,0,76,3524,0,0,8,392
72,0.072,0,0,76,3524,0,0,8,392
73,0.073,0,0,76,3524,0,0,8,392
74,0.074,0,0,76,3524,0,0,8,392
75,0.075,0,0,76,3524,0,0,8,392
76,0.076,0,0,76,3524,0,0,8,392
77,0.077,0,0,76,3524,0,0,8,392
78,0.078,0,0,76,3524,0,0,8,392
79,0.079,0,0,76,3524,0,0,8,392
80,0.08,0,0,76,3524,0,0,8,392
81,0.081,0,0,76,3524,0,0,8,392
82,0.082,0,0,76,3524,0,0,8,392
83,0.083,0,0,76,3524,0,0,8,392
84,0.084,0,0,76,3524,0,0,8,392
85,0.085,0,0,76,3524,0,0,8,392
86,0.086,0,0,76,3524,0,0,8,392
87,0.087,0,0,76,3524,0,0,8,392
88,0.088,0,0,76,3524,0,0,8,392
89,0.089,0,0,76,3524,0,0,8,392
90,0.09,0,0,76,3524,0,0,8,392
91,0.091,0,0,76,3524,0,0,8,392
92,0.092,0,0,76,3524,0,0,8,392
93,0.093,0,0,76,3524,0,0,8,392
94,0.094,0,0,76,3524,0,0,8,392
95,0.095,0,0,76,3524,0,0,8,392
96,0.096,0,0,76,3524,0,0,8,392
97,0.097,0,0,76,3524,0,0,8,392
98,0.098,0,0,76,3524,0,0,8,392
99,0.099,0,0,76,3524,0,0,8,392
100,0.1,0,0,76,3524,0,0,8,392
101,0.2,0,0,76,3524,0,0,8,392
102,0.3,0,0,76,3524,0,0,8,392
103,0.4,0,0,76,3524,0,0,8,392
104,0.5,0,0,76,3524,0,0,8,392
