,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,113,5287,0,0,12,588,0,0
1,0.001,113,5287,0,0,12,588,0,0
2,0.002,113,5287,0,0,12,588,0,0
3,0.003,113,5287,0,0,12,588,0,0
4,0.004,113,5287,0,0,12,588,0,0
5,0.005,113,5287,0,0,12,588,0,0
6,0.006,113,5287,0,0,12,588,0,0
7,0.007,113,5287,0,0,12,588,0,0
8,0.008,113,5287,0,0,12,588,0,0
9,0.009,113,5287,0,0,12,588,0,0
10,0.01,113,5287,0,0,12,588,0,0
11,0.011,113,5287,0,0,12,588,0,0
12,0.012,113,5200,0,87,12,573,0,15
13,0.013,94,4702,19,585,12,527,0,61
14,0.014,74,4112,39,1175,10,474,2,114
15,0.015,65,3502,48,1785,10,421,2,167
16,0.016,54,2948,59,2339,9,354,3,234
17,0.017,43,2362,70,2925,5,291,7,297
18,0.018,37,1888,76,3399,5,234,7,354
19,0.019,31,1505,82,3782,5,187,7,401
20,0.02,25,1173,88,4114,5,150,7,438
21,0.021,22,912,91,4375,5,124,7,464
22,0.022,18,748,95,4539,4,105,8,483
23,0.023,17,602,96,4685,4,88,8,500
24,0.024,16,501,97,4786,3,72,9,516
25,0.025,16,459,97,4828,3,63,9,525
26,0.026,15,413,98,4874,3,59,9,529
27,0.027,14,350,99,4937,3,49,9,539
28,0.028,12,280,101,5007,3,37,9,551
29,0.029,11,230,102,5057,3,34,9,554
30,0.03,8,195,105,5092,3,28,9,560
31,0.031,6,168,107,5119,3,23,9,565
32,0.032,4,133,109,5154,3,20,9,568
33,0.033,3,94,110,5193,3,13,9,575
34,0.034,3,78,110,5209,2,12,10,576
35,0.035,3,65,110,5222,2,9,10,579
36,0.036,2,56,111,5231,2,8,10,580
37,0.037,2,44,111,5243,2,6,10,582
38,0.038,2,39,111,5248,1,3,11,585
39,0.039,1,35,112,5252,1,1,11,587
40,0.04,0,29,113,5258,1,0,11,588
41,0.041,0,26,113,5261,1,0,11,588
42,0.042,0,22,113,5265,1,0,11,588
43,0.043,0,22,113,5265,1,0,11,588
44,0.044,0,21,113,5266,1,0,11,588
45,0.045,0,19,113,5268,1,0,11,588
46,0.046,0,17,113,5270,1,0,11,588
47,0.047,0,14,113,5273,1,0,11,588
48,0.048,0,11,113,5276,1,0,11,588
49,0.049,0,11,113,5276,1,0,11,588
50,0.05,0,11,113,5276,1,0,11,588
51,0.051,0,10,113,5277,1,0,11,588
52,0.052,0,8,113,5279,1,0,11,588
53,0.053,0,8,113,5279,1,0,11,588
54,0.054,0,7,113,5280,1,0,11,588
55,0.055,0,6,113,5281,1,0,11,588
56,0.056,0,4,113,5283,0,0,12,588
57,0.057,0,4,113,5283,0,0,12,588
58,0.058,0,4,113,5283,0,0,12,588
59,0.059,0,3,113,5284,0,0,12,588
60,0.06,0,3,113,5284,0,0,12,588
61,0.061,0,2,113,5285,0,0,12,588
62,0.062,0,1,113,5286,0,0,12,588
63,0.063,0,1,113,5286,0,0,12,588
64,0.064,0,1,113,5286,0,0,12,588
65,0.065,0,0,113,5287,0,0,12,588
66,0.066,0,0,113,5287,0,0,12,588
67,0.067,0,0,113,5287,0,0,12,588
68,0.068,0,0,113,5287,0,0,12,588
69,0.069,0,0,113,5287,0,0,12,588
70,0.07,0,0,113,5287,0,0,12,588
71,0.071,0,0,113,5287,0,0,12,588
72,0.072,0,0,113,5287,0,0,12,588
73,0.073,0,0,113,5287,0,0,12,588
74,0.074,0,0,113,5287,0,0,12,588
75,0.075,0,0,113,5287,0,0,12,588
76,0.076,0,0,113,5287,0,0,12,588
77,0.077,0,0,113,5287,0,0,12,588
78,0.078,0,0,113,5287,0,0,12,588
79,0.079,0,0,113,5287,0,0,12,588
80,0.08,0,0,113,5287,0,0,12,588
81,0.081,0,0,113,5287,0,0,12,588
82,0.082,0,0,113,5287,0,0,12,588
83,0.083,0,0,113,5287,0,0,12,588
84,0.084,0,0,113,5287,0,0,12,588
85,0.085,0,0,113,5287,0,0,12,588
86,0.086,0,0,113,5287,0,0,12,588
87,0.087,0,0,113,5287,0,0,12,588
88,0.088,0,0,113,5287,0,0,12,588
89,0.089,0,0,113,5287,0,0,12,588
90,0.09,0,0,113,5287,0,0,12,588
91,0.091,0,0,113,5287,0,0,12,588
92,0.092,0,0,113,5287,0,0,12,588
93,0.093,0,0,113,5287,0,0,12,588
94,0.094,0,0,113,5287,0,0,12,588
95,0.095,0,0,113,5287,0,0,12,588
96,0.096,0,0,113,5287,0,0,12,588
97,0.097,0,0,113,5287,0,0,12,588
98,0.098,0,0,113,5287,0,0,12,588
99,0.099,0,0,113,5287,0,0,12,588
100,0.1,0,0,113,5287,0,0,12,588
101,0.2,0,0,113,5287,0,0,12,588
102,0.3,0,0,113,5287,0,0,12,588
103,0.4,0,0,113,5287,0,0,12,588
104,0.5,0,0,113,5287,0,0,12,588
