,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,112,5288,0,0,13,587,0,0
1,0.001,112,5288,0,0,13,587,0,0
2,0.002,112,5288,0,0,13,587,0,0
3,0.003,112,5288,0,0,13,587,0,0
4,0.004,112,5288,0,0,13,587,0,0
5,0.005,112,5288,0,0,13,587,0,0
6,0.006,112,5288,0,0,13,587,0,0
7,0.007,112,5288,0,0,13,587,0,0
8,0.008,112,5288,0,0,13,587,0,0
9,0.009,112,5288,0,0,13,587,0,0
10,0.01,112,5288,0,0,13,587,0,0
11,0.011,112,5288,0,0,13,587,0,0
12,0.012,112,5288,0,0,13,587,0,0
13,0.013,112,5288,0,0,13,587,0,0
14,0.014,112,5283,0,5,13,586,0,1
15,0.015,106,5016,6,272,13,546,0,41
16,0.016,84,3979,28,1309,13,407,0,180
17,0.017,58,2629,54,2659,13,260,0,327
18,0.018,42,1692,70,3596,13,161,0,426
19,0.019,28,1212,84,4076,13,113,0,474
20,0.02,23,1009,89,4279,13,98,0,489
21,0.021,17,864,95,4424,13,85,0,502
22,0.022,17,745,95,4543,13,75,0,512
23,0.023,15,655,97,4633,13,68,0,519
24,0.024,13,624,99,4664,13,67,0,520
25,0.025,13,608,99,4680,13,62,0,525
26,0.026,13,588,99,4700,13,60,0,527
27,0.027,12,559,100,4729,13,54,0,533
28,0.028,11,500,101,4788,13,50,0,537
29,0.029,11,487,101,4801,13,49,0,538
30,0.03,11,476,101,4812,13,48,0,539
31,0.031,11,465,101,4823,13,47,0,540
32,0.032,11,454,101,4834,13,42,0,545
33,0.033,11,440,101,4848,13,40,0,547
34,0.034,11,425,101,4863,13,36,0,551
35,0.035,11,409,101,4879,13,34,0,553
36,0.036,11,398,101,4890,13,33,0,554
37,0.037,11,381,101,4907,13,31,0,556
38,0.038,11,364,101,4924,13,28,0,559
39,0.039,11,346,101,4942,12,28,1,559
40,0.04,11,323,101,4965,12,26,1,561
41,0.041,10,300,102,4988,12,23,1,564
42,0.042,9,288,103,5000,11,22,2,565
43,0.043,8,266,104,5022,11,19,2,568
44,0.044,8,240,104,5048,10,17,3,570
45,0.045,8,218,104,5070,10,16,3,571
46,0.046,8,204,104,5084,10,15,3,572
47,0.047,8,182,104,5106,10,12,3,575
48,0.048,8,170,104,5118,10,12,3,575
49,0.049,8,157,104,5131,10,10,3,577
50,0.05,8,143,104,5145,10,10,3,577
51,0.051,8,130,104,5158,10,9,3,578
52,0.052,7,124,105,5164,10,9,3,578
53,0.053,7,113,105,5175,9,9,4,578
54,0.054,7,105,105,5183,9,7,4,580
55,0.055,7,92,105,5196,8,7,5,580
56,0.056,7,90,105,5198,8,7,5,580
57,0.057,6,81,106,5207,6,6,7,581
58,0.058,6,73,106,5215,6,6,7,581
59,0.059,4,69,108,5219,6,5,7,582
60,0.06,3,64,109,5224,4,5,9,582
61,0.061,2,54,110,5234,4,5,9,582
62,0.062,2,49,110,5239,3,5,10,582
63,0.063,2,43,110,5245,2,4,11,583
64,0.064,2,37,110,5251,2,3,11,584
65,0.065,1,29,111,5259,1,3,12,584
66,0.066,0,17,112,5271,1,1,12,586
67,0.067,0,14,112,5274,1,1,12,586
68,0.068,0,13,112,5275,1,1,12,586
69,0.069,0,8,112,5280,1,1,12,586
70,0.07,0,4,112,5284,0,1,13,586
71,0.071,0,2,112,5286,0,1,13,586
72,0.072,0,1,112,5287,0,1,13,586
73,0.073,0,0,112,5288,0,0,13,587
74,0.074,0,0,112,5288,0,0,13,587
75,0.075,0,0,112,5288,0,0,13,587
76,0.076,0,0,112,5288,0,0,13,587
77,0.077,0,0,112,5288,0,0,13,587
78,0.078,0,0,112,5288,0,0,13,587
79,0.079,0,0,112,5288,0,0,13,587
80,0.08,0,0,112,5288,0,0,13,587
81,0.081,0,0,112,5288,0,0,13,587
82,0.082,0,0,112,5288,0,0,13,587
83,0.083,0,0,112,5288,0,0,13,587
84,0.084,0,0,112,5288,0,0,13,587
85,0.085,0,0,112,5288,0,0,13,587
86,0.086,0,0,112,5288,0,0,13,587
87,0.087,0,0,112,5288,0,0,13,587
88,0.088,0,0,112,5288,0,0,13,587
89,0.089,0,0,112,5288,0,0,13,587
90,0.09,0,0,112,5288,0,0,13,587
91,0.091,0,0,112,5288,0,0,13,587
92,0.092,0,0,112,5288,0,0,13,587
93,0.093,0,0,112,5288,0,0,13,587
94,0.094,0,0,112,5288,0,0,13,587
95,0.095,0,0,112,5288,0,0,13,587
96,0.096,0,0,112,5288,0,0,13,587
97,0.097,0,0,112,5288,0,0,13,587
98,0.098,0,0,112,5288,0,0,13,587
99,0.099,0,0,112,5288,0,0,13,587
100,0.1,0,0,112,5288,0,0,13,587
101,0.2,0,0,112,5288,0,0,13,587
102,0.3,0,0,112,5288,0,0,13,587
103,0.4,0,0,112,5288,0,0,13,587
104,0.5,0,0,112,5288,0,0,13,587
