,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,112,5288,0,0,13,587,0,0
1,0.001,112,5288,0,0,13,587,0,0
2,0.002,112,5288,0,0,13,587,0,0
3,0.003,112,5288,0,0,13,587,0,0
4,0.004,112,5288,0,0,13,587,0,0
5,0.005,112,5288,0,0,13,587,0,0
6,0.006,112,5288,0,0,13,587,0,0
7,0.007,112,5288,0,0,13,587,0,0
8,0.008,112,5288,0,0,13,587,0,0
9,0.009,112,5288,0,0,13,587,0,0
10,0.01,112,5288,0,0,13,587,0,0
11,0.011,112,5288,0,0,13,587,0,0
12,0.012,112,5287,0,1,13,587,0,0
13,0.013,112,5259,0,29,13,586,0,1
14,0.014,110,5221,2,67,13,579,0,8
15,0.015,110,5138,2,150,13,571,0,16
16,0.016,106,4834,6,454,13,534,0,53
17,0.017,95,4334,17,954,13,476,0,111
18,0.018,80,3662,32,1626,13,402,0,185
19,0.019,66,2987,46,2301,13,322,0,265
20,0.02,48,2342,64,2946,13,256,0,331
21,0.021,35,1798,77,3490,13,187,0,400
22,0.022,33,1390,79,3898,12,140,1,447
23,0.023,26,1048,86,4240,12,97,1,490
24,0.024,18,768,94,4520,11,66,2,521
25,0.025,12,542,100,4746,8,46,5,541
26,0.026,9,378,103,4910,8,37,5,550
27,0.027,8,287,104,5001,6,27,7,560
28,0.028,7,262,105,5026,6,24,7,563
29,0.029,6,235,106,5053,5,24,8,563
30,0.03,5,213,107,5075,3,22,10,565
31,0.031,5,193,107,5095,3,21,10,566
32,0.032,5,180,107,5108,3,18,10,569
33,0.033,5,162,107,5126,3,17,10,570
34,0.034,4,148,108,5140,3,16,10,571
35,0.035,3,132,109,5156,3,14,10,573
36,0.036,3,120,109,5168,2,13,11,574
37,0.037,3,114,109,5174,2,13,11,574
38,0.038,3,96,109,5192,2,13,11,574
39,0.039,3,90,109,5198,2,11,11,576
40,0.04,3,78,109,5210,2,11,11,576
41,0.041,3,65,109,5223,2,9,11,578
42,0.042,3,50,109,5238,2,8,11,579
43,0.043,3,45,109,5243,2,8,11,579
44,0.044,2,37,110,5251,2,5,11,582
45,0.045,2,29,110,5259,1,4,12,583
46,0.046,2,24,110,5264,1,4,12,583
47,0.047,1,17,111,5271,0,3,13,584
48,0.048,1,12,111,5276,0,3,13,584
49,0.049,1,6,111,5282,0,3,13,584
50,0.05,0,5,112,5283,0,2,13,585
51,0.051,0,3,112,5285,0,1,13,586
52,0.052,0,2,112,5286,0,0,13,587
53,0.053,0,2,112,5286,0,0,13,587
54,0.054,0,1,112,5287,0,0,13,587
55,0.055,0,0,112,5288,0,0,13,587
56,0.056,0,0,112,5288,0,0,13,587
57,0.057,0,0,112,5288,0,0,13,587
58,0.058,0,0,112,5288,0,0,13,587
59,0.059,0,0,112,5288,0,0,13,587
60,0.06,0,0,112,5288,0,0,13,587
61,0.061,0,0,112,5288,0,0,13,587
62,0.062,0,0,112,5288,0,0,13,587
63,0.063,0,0,112,5288,0,0,13,587
64,0.064,0,0,112,5288,0,0,13,587
65,0.065,0,0,112,5288,0,0,13,587
66,0.066,0,0,112,5288,0,0,13,587
67,0.067,0,0,112,5288,0,0,13,587
68,0.068,0,0,112,5288,0,0,13,587
69,0.069,0,0,112,5288,0,0,13,587
70,0.07,0,0,112,5288,0,0,13,587
71,0.071,0,0,112,5288,0,0,13,587
72,0.072,0,0,112,5288,0,0,13,587
73,0.073,0,0,112,5288,0,0,13,587
74,0.074,0,0,112,5288,0,0,13,587
75,0.075,0,0,112,5288,0,0,13,587
76,0.076,0,0,112,5288,0,0,13,587
77,0.077,0,0,112,5288,0,0,13,587
78,0.078,0,0,112,5288,0,0,13,587
79,0.079,0,0,112,5288,0,0,13,587
80,0.08,0,0,112,5288,0,0,13,587
81,0.081,0,0,112,5288,0,0,13,587
82,0.082,0,0,112,5288,0,0,13,587
83,0.083,0,0,112,5288,0,0,13,587
84,0.084,0,0,112,5288,0,0,13,587
85,0.085,0,0,112,5288,0,0,13,587
86,0.086,0,0,112,5288,0,0,13,587
87,0.087,0,0,112,5288,0,0,13,587
88,0.088,0,0,112,5288,0,0,13,587
89,0.089,0,0,112,5288,0,0,13,587
90,0.09,0,0,112,5288,0,0,13,587
91,0.091,0,0,112,5288,0,0,13,587
92,0.092,0,0,112,5288,0,0,13,587
93,0.093,0,0,112,5288,0,0,13,587
94,0.094,0,0,112,5288,0,0,13,587
95,0.095,0,0,112,5288,0,0,13,587
96,0.096,0,0,112,5288,0,0,13,587
97,0.097,0,0,112,5288,0,0,13,587
98,0.098,0,0,112,5288,0,0,13,587
99,0.099,0,0,112,5288,0,0,13,587
100,0.1,0,0,112,5288,0,0,13,587
101,0.2,0,0,112,5288,0,0,13,587
102,0.3,0,0,112,5288,0,0,13,587
103,0.4,0,0,112,5288,0,0,13,587
104,0.5,0,0,112,5288,0,0,13,587
