,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,113,5287,0,0,12,588,0,0
1,0.001,113,5287,0,0,12,588,0,0
2,0.002,113,5287,0,0,12,588,0,0
3,0.003,113,5287,0,0,12,588,0,0
4,0.004,113,5287,0,0,12,588,0,0
5,0.005,113,5287,0,0,12,588,0,0
6,0.006,113,5287,0,0,12,588,0,0
7,0.007,113,5287,0,0,12,588,0,0
8,0.008,113,5287,0,0,12,588,0,0
9,0.009,113,5287,0,0,12,588,0,0
10,0.01,113,5287,0,0,12,588,0,0
11,0.011,113,5287,0,0,12,588,0,0
12,0.012,113,5287,0,0,12,588,0,0
13,0.013,113,5287,0,0,12,588,0,0
14,0.014,113,5287,0,0,12,588,0,0
15,0.015,113,5287,0,0,12,588,0,0
16,0.016,113,5287,0,0,12,588,0,0
17,0.017,113,5287,0,0,12,588,0,0
18,0.018,113,5287,0,0,12,588,0,0
19,0.019,113,5287,0,0,12,588,0,0
20,0.02,113,5287,0,0,12,588,0,0
21,0.021,113,5287,0,0,12,588,0,0
22,0.022,113,5287,0,0,12,588,0,0
23,0.023,113,5287,0,0,12,588,0,0
24,0.024,113,5287,0,0,12,588,0,0
25,0.025,113,5279,0,8,12,588,0,0
26,0.026,112,5247,1,40,12,588,0,0
27,0.027,112,5230,1,57,12,584,0,4
28,0.028,111,5061,2,226,11,565,1,23
29,0.029,68,3613,45,1674,11,411,1,177
30,0.03,36,1724,77,3563,11,200,1,388
31,0.031,23,983,90,4304,11,110,1,478
32,0.032,15,663,98,4624,11,76,1,512
33,0.033,13,473,100,4814,11,49,1,539
34,0.034,11,347,102,4940,11,35,1,553
35,0.035,10,265,103,5022,11,26,1,562
36,0.036,9,229,104,5058,11,19,1,569
37,0.037,8,180,105,5107,11,10,1,578
38,0.038,6,153,107,5134,11,6,1,582
39,0.039,3,147,110,5140,11,3,1,585
40,0.04,3,145,110,5142,11,2,1,586
41,0.041,3,142,110,5145,11,2,1,586
42,0.042,3,137,110,5150,11,2,1,586
43,0.043,3,135,110,5152,11,2,1,586
44,0.044,3,134,110,5153,11,2,1,586
45,0.045,3,133,110,5154,11,2,1,586
46,0.046,3,131,110,5156,11,2,1,586
47,0.047,3,127,110,5160,10,2,2,586
48,0.048,3,124,110,5163,9,2,3,586
49,0.049,3,121,110,5166,9,2,3,586
50,0.05,3,113,110,5174,9,1,3,587
51,0.051,3,103,110,5184,9,1,3,587
52,0.052,3,93,110,5194,9,1,3,587
53,0.053,3,89,110,5198,8,1,4,587
54,0.054,3,82,110,5205,8,1,4,587
55,0.055,2,79,111,5208,8,1,4,587
56,0.056,2,75,111,5212,8,1,4,587
57,0.057,2,74,111,5213,7,1,5,587
58,0.058,2,72,111,5215,7,1,5,587
59,0.059,2,69,111,5218,7,1,5,587
60,0.06,2,66,111,5221,7,1,5,587
61,0.061,2,64,111,5223,7,1,5,587
62,0.062,2,61,111,5226,5,1,7,587
63,0.063,2,59,111,5228,5,1,7,587
64,0.064,2,58,111,5229,5,1,7,587
65,0.065,2,56,111,5231,4,1,8,587
66,0.066,2,49,111,5238,4,0,8,588
67,0.067,2,46,111,5241,4,0,8,588
68,0.068,2,39,111,5248,3,0,9,588
69,0.069,1,36,112,5251,3,0,9,588
70,0.07,1,32,112,5255,3,0,9,588
71,0.071,1,26,112,5261,3,0,9,588
72,0.072,1,23,112,5264,3,0,9,588
73,0.073,1,19,112,5268,3,0,9,588
74,0.074,1,19,112,5268,3,0,9,588
75,0.075,0,17,113,5270,2,0,10,588
76,0.076,0,16,113,5271,2,0,10,588
77,0.077,0,16,113,5271,1,0,11,588
78,0.078,0,14,113,5273,1,0,11,588
79,0.079,0,11,113,5276,1,0,11,588
80,0.08,0,8,113,5279,1,0,11,588
81,0.081,0,7,113,5280,1,0,11,588
82,0.082,0,4,113,5283,1,0,11,588
83,0.083,0,1,113,5286,1,0,11,588
84,0.084,0,1,113,5286,0,0,12,588
85,0.085,0,0,113,5287,0,0,12,588
86,0.086,0,0,113,5287,0,0,12,588
87,0.087,0,0,113,5287,0,0,12,588
88,0.088,0,0,113,5287,0,0,12,588
89,0.089,0,0,113,5287,0,0,12,588
90,0.09,0,0,113,5287,0,0,12,588
91,0.091,0,0,113,5287,0,0,12,588
92,0.092,0,0,113,5287,0,0,12,588
93,0.093,0,0,113,5287,0,0,12,588
94,0.094,0,0,113,5287,0,0,12,588
95,0.095,0,0,113,5287,0,0,12,588
96,0.096,0,0,113,5287,0,0,12,588
97,0.097,0,0,113,5287,0,0,12,588
98,0.098,0,0,113,5287,0,0,12,588
99,0.099,0,0,113,5287,0,0,12,588
100,0.1,0,0,113,5287,0,0,12,588
101,0.2,0,0,113,5287,0,0,12,588
102,0.3,0,0,113,5287,0,0,12,588
103,0.4,0,0,113,5287,0,0,12,588
104,0.5,0,0,113,5287,0,0,12,588
