,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,113,5287,0,0,12,588,0,0
1,0.001,113,5287,0,0,12,588,0,0
2,0.002,113,5287,0,0,12,588,0,0
3,0.003,113,5287,0,0,12,588,0,0
4,0.004,113,5287,0,0,12,588,0,0
5,0.005,113,5287,0,0,12,588,0,0
6,0.006,113,5287,0,0,12,588,0,0
7,0.007,113,5287,0,0,12,588,0,0
8,0.008,113,5287,0,0,12,588,0,0
9,0.009,113,5287,0,0,12,588,0,0
10,0.01,113,5287,0,0,12,588,0,0
11,0.011,113,5287,0,0,12,588,0,0
12,0.012,113,5287,0,0,12,588,0,0
13,0.013,113,5287,0,0,12,588,0,0
14,0.014,113,5287,0,0,12,588,0,0
15,0.015,113,5287,0,0,12,588,0,0
16,0.016,113,5287,0,0,12,588,0,0
17,0.017,113,5287,0,0,12,588,0,0
18,0.018,113,5287,0,0,12,588,0,0
19,0.019,104,4751,9,536,12,516,0,72
20,0.02,84,3897,29,1390,12,419,0,169
21,0.021,22,1037,91,4250,12,115,0,473
22,0.022,8,458,105,4829,12,37,0,551
23,0.023,8,368,105,4919,12,23,0,565
24,0.024,8,357,105,4930,12,21,0,567
25,0.025,8,352,105,4935,12,20,0,568
26,0.026,8,345,105,4942,12,18,0,570
27,0.027,8,322,105,4965,11,15,1,573
28,0.028,6,274,107,5013,11,13,1,575
29,0.029,5,213,108,5074,10,8,2,580
30,0.03,5,150,108,5137,10,4,2,584
31,0.031,3,110,110,5177,9,1,3,587
32,0.032,2,94,111,5193,9,1,3,587
33,0.033,1,90,112,5197,9,1,3,587
34,0.034,1,85,112,5202,9,1,3,587
35,0.035,1,79,112,5208,8,1,4,587
36,0.036,1,76,112,5211,7,1,5,587
37,0.037,1,71,112,5216,7,1,5,587
38,0.038,1,67,112,5220,6,1,6,587
39,0.039,1,61,112,5226,6,1,6,587
40,0.04,1,60,112,5227,6,1,6,587
41,0.041,1,57,112,5230,6,1,6,587
42,0.042,1,56,112,5231,5,1,7,587
43,0.043,1,53,112,5234,4,0,8,588
44,0.044,1,50,112,5237,3,0,9,588
45,0.045,1,45,112,5242,3,0,9,588
46,0.046,0,39,113,5248,3,0,9,588
47,0.047,0,38,113,5249,3,0,9,588
48,0.048,0,37,113,5250,3,0,9,588
49,0.049,0,35,113,5252,3,0,9,588
50,0.05,0,32,113,5255,3,0,9,588
51,0.051,0,29,113,5258,2,0,10,588
52,0.052,0,26,113,5261,2,0,10,588
53,0.053,0,25,113,5262,2,0,10,588
54,0.054,0,24,113,5263,2,0,10,588
55,0.055,0,24,113,5263,2,0,10,588
56,0.056,0,24,113,5263,2,0,10,588
57,0.057,0,21,113,5266,1,0,11,588
58,0.058,0,19,113,5268,1,0,11,588
59,0.059,0,19,113,5268,1,0,11,588
60,0.06,0,19,113,5268,1,0,11,588
61,0.061,0,19,113,5268,1,0,11,588
62,0.062,0,17,113,5270,1,0,11,588
63,0.063,0,16,113,5271,1,0,11,588
64,0.064,0,12,113,5275,1,0,11,588
65,0.065,0,12,113,5275,1,0,11,588
66,0.066,0,11,113,5276,1,0,11,588
67,0.067,0,8,113,5279,1,0,11,588
68,0.068,0,8,113,5279,1,0,11,588
69,0.069,0,7,113,5280,1,0,11,588
70,0.07,0,4,113,5283,1,0,11,588
71,0.071,0,3,113,5284,1,0,11,588
72,0.072,0,2,113,5285,1,0,11,588
73,0.073,0,2,113,5285,1,0,11,588
74,0.074,0,1,113,5286,1,0,11,588
75,0.075,0,0,113,5287,0,0,12,588
76,0.076,0,0,113,5287,0,0,12,588
77,0.077,0,0,113,5287,0,0,12,588
78,0.078,0,0,113,5287,0,0,12,588
79,0.079,0,0,113,5287,0,0,12,588
80,0.08,0,0,113,5287,0,0,12,588
81,0.081,0,0,113,5287,0,0,12,588
82,0.082,0,0,113,5287,0,0,12,588
83,0.083,0,0,113,5287,0,0,12,588
84,0.084,0,0,113,5287,0,0,12,588
85,0.085,0,0,113,5287,0,0,12,588
86,0.086,0,0,113,5287,0,0,12,588
87,0.087,0,0,113,5287,0,0,12,588
88,0.088,0,0,113,5287,0,0,12,588
89,0.089,0,0,113,5287,0,0,12,588
90,0.09,0,0,113,5287,0,0,12,588
91,0.091,0,0,113,5287,0,0,12,588
92,0.092,0,0,113,5287,0,0,12,588
93,0.093,0,0,113,5287,0,0,12,588
94,0.094,0,0,113,5287,0,0,12,588
95,0.095,0,0,113,5287,0,0,12,588
96,0.096,0,0,113,5287,0,0,12,588
97,0.097,0,0,113,5287,0,0,12,588
98,0.098,0,0,113,5287,0,0,12,588
99,0.099,0,0,113,5287,0,0,12,588
100,0.1,0,0,113,5287,0,0,12,588
101,0.2,0,0,113,5287,0,0,12,588
102,0.3,0,0,113,5287,0,0,12,588
103,0.4,0,0,113,5287,0,0,12,588
104,0.5,0,0,113,5287,0,0,12,588
