,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,150,7050,0,0,17,783,0,0
1,0.001,150,7050,0,0,17,783,0,0
2,0.002,150,7050,0,0,17,783,0,0
3,0.003,150,7050,0,0,17,783,0,0
4,0.004,150,7050,0,0,17,783,0,0
5,0.005,150,7050,0,0,17,783,0,0
6,0.006,150,7050,0,0,17,783,0,0
7,0.007,150,7050,0,0,17,783,0,0
8,0.008,150,7050,0,0,17,783,0,0
9,0.009,150,7050,0,0,17,783,0,0
10,0.01,150,7050,0,0,17,783,0,0
11,0.011,150,7050,0,0,17,783,0,0
12,0.012,150,7050,0,0,17,783,0,0
13,0.013,148,6903,2,147,17,769,0,14
14,0.014,141,6537,9,513,15,732,2,51
15,0.015,124,6019,26,1031,13,667,4,116
16,0.016,115,5523,35,1527,10,615,7,168
17,0.017,100,4705,50,2345,9,520,8,263
18,0.018,93,4118,57,2932,8,450,9,333
19,0.019,78,3456,72,3594,6,376,11,407
20,0.02,63,2887,87,4163,5,306,12,477
21,0.021,53,2364,97,4686,5,258,12,525
22,0.022,42,1966,108,5084,5,217,12,566
23,0.023,36,1601,114,5449,5,178,12,605
24,0.024,34,1438,116,5612,4,159,13,624
25,0.025,27,1222,123,5828,4,134,13,649
26,0.026,26,1113,124,5937,3,118,14,665
27,0.027,21,939,129,6111,2,106,15,677
28,0.028,17,824,133,6226,2,89,15,694
29,0.029,13,706,137,6344,2,74,15,709
30,0.03,11,583,139,6467,2,58,15,725
31,0.031,11,534,139,6516,2,56,15,727
32,0.032,11,525,139,6525,2,55,15,728
33,0.033,11,479,139,6571,2,49,15,734
34,0.034,9,409,141,6641,2,43,15,740
35,0.035,7,376,143,6674,1,41,16,742
36,0.036,7,341,143,6709,0,35,17,748
37,0.037,6,303,144,6747,0,30,17,753
38,0.038,5,246,145,6804,0,24,17,759
39,0.039,5,227,145,6823,0,22,17,761
40,0.04,5,223,145,6827,0,22,17,761
41,0.041,5,207,145,6843,0,17,17,766
42,0.042,3,185,147,6865,0,16,17,767
43,0.043,3,180,147,6870,0,16,17,767
44,0.044,3,153,147,6897,0,13,17,770
45,0.045,2,109,148,6941,0,7,17,776
46,0.046,2,97,148,6953,0,3,17,780
47,0.047,1,49,149,7001,0,1,17,782
48,0.048,1,18,149,7032,0,1,17,782
49,0.049,0,15,150,7035,0,1,17,782
50,0.05,0,14,150,7036,0,0,17,783
51,0.051,0,11,150,7039,0,0,17,783
52,0.052,0,0,150,7050,0,0,17,783
53,0.053,0,0,150,7050,0,0,17,783
54,0.054,0,0,150,7050,0,0,17,783
55,0.055,0,0,150,7050,0,0,17,783
56,0.056,0,0,150,7050,0,0,17,783
57,0.057,0,0,150,7050,0,0,17,783
58,0.058,0,0,150,7050,0,0,17,783
59,0.059,0,0,150,7050,0,0,17,783
60,0.06,0,0,150,7050,0,0,17,783
61,0.061,0,0,150,7050,0,0,17,783
62,0.062,0,0,150,7050,0,0,17,783
63,0.063,0,0,150,7050,0,0,17,783
64,0.064,0,0,150,7050,0,0,17,783
65,0.065,0,0,150,7050,0,0,17,783
66,0.066,0,0,150,7050,0,0,17,783
67,0.067,0,0,150,7050,0,0,17,783
68,0.068,0,0,150,7050,0,0,17,783
69,0.069,0,0,150,7050,0,0,17,783
70,0.07,0,0,150,7050,0,0,17,783
71,0.071,0,0,150,7050,0,0,17,783
72,0.072,0,0,150,7050,0,0,17,783
73,0.073,0,0,150,7050,0,0,17,783
74,0.074,0,0,150,7050,0,0,17,783
75,0.075,0,0,150,7050,0,0,17,783
76,0.076,0,0,150,7050,0,0,17,783
77,0.077,0,0,150,7050,0,0,17,783
78,0.078,0,0,150,7050,0,0,17,783
79,0.079,0,0,150,7050,0,0,17,783
80,0.08,0,0,150,7050,0,0,17,783
81,0.081,0,0,150,7050,0,0,17,783
82,0.082,0,0,150,7050,0,0,17,783
83,0.083,0,0,150,7050,0,0,17,783
84,0.084,0,0,150,7050,0,0,17,783
85,0.085,0,0,150,7050,0,0,17,783
86,0.086,0,0,150,7050,0,0,17,783
87,0.087,0,0,150,7050,0,0,17,783
88,0.088,0,0,150,7050,0,0,17,783
89,0.089,0,0,150,7050,0,0,17,783
90,0.09,0,0,150,7050,0,0,17,783
91,0.091,0,0,150,7050,0,0,17,783
92,0.092,0,0,150,7050,0,0,17,783
93,0.093,0,0,150,7050,0,0,17,783
94,0.094,0,0,150,7050,0,0,17,783
95,0.095,0,0,150,7050,0,0,17,783
96,0.096,0,0,150,7050,0,0,17,783
97,0.097,0,0,150,7050,0,0,17,783
98,0.098,0,0,150,7050,0,0,17,783
99,0.099,0,0,150,7050,0,0,17,783
100,0.1,0,0,150,7050,0,0,17,783
101,0.2,0,0,150,7050,0,0,17,783
102,0.3,0,0,150,7050,0,0,17,783
103,0.4,0,0,150,7050,0,0,17,783
104,0.5,0,0,150,7050,0,0,17,783
