,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,150,7050,0,0,17,783,0,0
1,0.001,150,7050,0,0,17,783,0,0
2,0.002,150,7050,0,0,17,783,0,0
3,0.003,150,7050,0,0,17,783,0,0
4,0.004,150,7050,0,0,17,783,0,0
5,0.005,150,7050,0,0,17,783,0,0
6,0.006,150,7050,0,0,17,783,0,0
7,0.007,150,7050,0,0,17,783,0,0
8,0.008,150,7050,0,0,17,783,0,0
9,0.009,150,7050,0,0,17,783,0,0
10,0.01,150,7050,0,0,17,783,0,0
11,0.011,150,7050,0,0,17,783,0,0
12,0.012,150,7050,0,0,17,783,0,0
13,0.013,145,6849,5,201,17,764,0,19
14,0.014,85,3855,65,3195,10,423,7,360
15,0.015,38,1691,112,5359,2,191,15,592
16,0.016,25,1015,125,6035,1,113,16,670
17,0.017,24,880,126,6170,1,98,16,685
18,0.018,24,879,126,6171,1,98,16,685
19,0.019,24,875,126,6175,1,98,16,685
20,0.02,23,866,127,6184,1,98,16,685
21,0.021,19,728,131,6322,1,83,16,700
22,0.022,12,494,138,6556,1,58,16,725
23,0.023,11,418,139,6632,1,50,16,733
24,0.024,10,308,140,6742,1,41,16,742
25,0.025,6,222,144,6828,1,32,16,751
26,0.026,6,215,144,6835,1,32,16,751
27,0.027,6,214,144,6836,1,32,16,751
28,0.028,6,214,144,6836,1,32,16,751
29,0.029,6,214,144,6836,1,32,16,751
30,0.03,6,214,144,6836,1,32,16,751
31,0.031,6,214,144,6836,1,32,16,751
32,0.032,6,213,144,6837,1,32,16,751
33,0.033,6,210,144,6840,1,32,16,751
34,0.034,6,205,144,6845,1,32,16,751
35,0.035,6,199,144,6851,1,30,16,753
36,0.036,6,195,144,6855,1,28,16,755
37,0.037,6,190,144,6860,1,25,16,758
38,0.038,5,182,145,6868,1,24,16,759
39,0.039,5,171,145,6879,1,24,16,759
40,0.04,4,169,146,6881,1,24,16,759
41,0.041,4,155,146,6895,1,23,16,760
42,0.042,4,138,146,6912,1,21,16,762
43,0.043,4,124,146,6926,1,21,16,762
44,0.044,3,93,147,6957,1,14,16,769
45,0.045,1,56,149,6994,1,11,16,772
46,0.046,0,39,150,7011,1,4,16,779
47,0.047,0,32,150,7018,0,3,17,780
48,0.048,0,21,150,7029,0,0,17,783
49,0.049,0,4,150,7046,0,0,17,783
50,0.05,0,0,150,7050,0,0,17,783
51,0.051,0,0,150,7050,0,0,17,783
52,0.052,0,0,150,7050,0,0,17,783
53,0.053,0,0,150,7050,0,0,17,783
54,0.054,0,0,150,7050,0,0,17,783
55,0.055,0,0,150,7050,0,0,17,783
56,0.056,0,0,150,7050,0,0,17,783
57,0.057,0,0,150,7050,0,0,17,783
58,0.058,0,0,150,7050,0,0,17,783
59,0.059,0,0,150,7050,0,0,17,783
60,0.06,0,0,150,7050,0,0,17,783
61,0.061,0,0,150,7050,0,0,17,783
62,0.062,0,0,150,7050,0,0,17,783
63,0.063,0,0,150,7050,0,0,17,783
64,0.064,0,0,150,7050,0,0,17,783
65,0.065,0,0,150,7050,0,0,17,783
66,0.066,0,0,150,7050,0,0,17,783
67,0.067,0,0,150,7050,0,0,17,783
68,0.068,0,0,150,7050,0,0,17,783
69,0.069,0,0,150,7050,0,0,17,783
70,0.07,0,0,150,7050,0,0,17,783
71,0.071,0,0,150,7050,0,0,17,783
72,0.072,0,0,150,7050,0,0,17,783
73,0.073,0,0,150,7050,0,0,17,783
74,0.074,0,0,150,7050,0,0,17,783
75,0.075,0,0,150,7050,0,0,17,783
76,0.076,0,0,150,7050,0,0,17,783
77,0.077,0,0,150,7050,0,0,17,783
78,0.078,0,0,150,7050,0,0,17,783
79,0.079,0,0,150,7050,0,0,17,783
80,0.08,0,0,150,7050,0,0,17,783
81,0.081,0,0,150,7050,0,0,17,783
82,0.082,0,0,150,7050,0,0,17,783
83,0.083,0,0,150,7050,0,0,17,783
84,0.084,0,0,150,7050,0,0,17,783
85,0.085,0,0,150,7050,0,0,17,783
86,0.086,0,0,150,7050,0,0,17,783
87,0.087,0,0,150,7050,0,0,17,783
88,0.088,0,0,150,7050,0,0,17,783
89,0.089,0,0,150,7050,0,0,17,783
90,0.09,0,0,150,7050,0,0,17,783
91,0.091,0,0,150,7050,0,0,17,783
92,0.092,0,0,150,7050,0,0,17,783
93,0.093,0,0,150,7050,0,0,17,783
94,0.094,0,0,150,7050,0,0,17,783
95,0.095,0,0,150,7050,0,0,17,783
96,0.096,0,0,150,7050,0,0,17,783
97,0.097,0,0,150,7050,0,0,17,783
98,0.098,0,0,150,7050,0,0,17,783
99,0.099,0,0,150,7050,0,0,17,783
100,0.1,0,0,150,7050,0,0,17,783
101,0.2,0,0,150,7050,0,0,17,783
102,0.3,0,0,150,7050,0,0,17,783
103,0.4,0,0,150,7050,0,0,17,783
104,0.5,0,0,150,7050,0,0,17,783
