,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,150,7050,0,0,17,783,0,0
1,0.001,150,7050,0,0,17,783,0,0
2,0.002,150,7050,0,0,17,783,0,0
3,0.003,150,7050,0,0,17,783,0,0
4,0.004,150,7050,0,0,17,783,0,0
5,0.005,150,7050,0,0,17,783,0,0
6,0.006,150,7050,0,0,17,783,0,0
7,0.007,150,7050,0,0,17,783,0,0
8,0.008,150,7050,0,0,17,783,0,0
9,0.009,150,7050,0,0,17,783,0,0
10,0.01,150,7050,0,0,17,783,0,0
11,0.011,150,7050,0,0,17,783,0,0
12,0.012,150,7050,0,0,17,783,0,0
13,0.013,150,7050,0,0,17,783,0,0
14,0.014,150,7050,0,0,17,783,0,0
15,0.015,150,7050,0,0,17,783,0,0
16,0.016,150,7050,0,0,17,783,0,0
17,0.017,124,5976,26,1074,17,661,0,122
18,0.018,81,3741,69,3309,17,430,0,353
19,0.019,19,869,131,6181,17,91,0,692
20,0.02,11,504,139,6546,17,47,0,736
21,0.021,7,338,143,6712,16,22,1,761
22,0.022,4,290,146,6760,16,16,1,767
23,0.023,3,268,147,6782,14,16,3,767
24,0.024,1,248,149,6802,12,16,5,767
25,0.025,1,223,149,6827,12,15,5,768
26,0.026,1,208,149,6842,12,14,5,769
27,0.027,1,202,149,6848,11,14,6,769
28,0.028,1,197,149,6853,11,14,6,769
29,0.029,1,191,149,6859,11,14,6,769
30,0.03,1,187,149,6863,11,14,6,769
31,0.031,1,182,149,6868,10,14,7,769
32,0.032,1,174,149,6876,9,14,8,769
33,0.033,1,171,149,6879,8,14,9,769
34,0.034,1,166,149,6884,7,14,10,769
35,0.035,1,163,149,6887,6,14,11,769
36,0.036,1,159,149,6891,6,14,11,769
37,0.037,1,156,149,6894,5,14,12,769
38,0.038,1,155,149,6895,4,14,13,769
39,0.039,1,155,149,6895,4,14,13,769
40,0.04,1,154,149,6896,4,14,13,769
41,0.041,1,153,149,6897,4,14,13,769
42,0.042,1,153,149,6897,4,14,13,769
43,0.043,1,149,149,6901,3,14,14,769
44,0.044,1,148,149,6902,3,14,14,769
45,0.045,1,143,149,6907,3,14,14,769
46,0.046,1,141,149,6909,3,14,14,769
47,0.047,1,139,149,6911,3,14,14,769
48,0.048,1,134,149,6916,3,14,14,769
49,0.049,1,129,149,6921,3,14,14,769
50,0.05,1,125,149,6925,3,14,14,769
51,0.051,1,125,149,6925,3,14,14,769
52,0.052,1,124,149,6926,3,14,14,769
53,0.053,1,123,149,6927,3,14,14,769
54,0.054,1,122,149,6928,3,13,14,770
55,0.055,1,120,149,6930,3,13,14,770
56,0.056,1,118,149,6932,3,12,14,771
57,0.057,1,116,149,6934,2,12,15,771
58,0.058,1,116,149,6934,2,12,15,771
59,0.059,1,115,149,6935,2,12,15,771
60,0.06,1,115,149,6935,2,12,15,771
61,0.061,0,114,150,6936,2,12,15,771
62,0.062,0,114,150,6936,2,11,15,772
63,0.063,0,109,150,6941,2,9,15,774
64,0.064,0,102,150,6948,2,8,15,775
65,0.065,0,94,150,6956,2,6,15,777
66,0.066,0,80,150,6970,2,5,15,778
67,0.067,0,61,150,6989,2,4,15,779
68,0.068,0,40,150,7010,2,2,15,781
69,0.069,0,29,150,7021,2,0,15,783
70,0.07,0,20,150,7030,1,0,16,783
71,0.071,0,11,150,7039,1,0,16,783
72,0.072,0,6,150,7044,0,0,17,783
73,0.073,0,4,150,7046,0,0,17,783
74,0.074,0,3,150,7047,0,0,17,783
75,0.075,0,1,150,7049,0,0,17,783
76,0.076,0,0,150,7050,0,0,17,783
77,0.077,0,0,150,7050,0,0,17,783
78,0.078,0,0,150,7050,0,0,17,783
79,0.079,0,0,150,7050,0,0,17,783
80,0.08,0,0,150,7050,0,0,17,783
81,0.081,0,0,150,7050,0,0,17,783
82,0.082,0,0,150,7050,0,0,17,783
83,0.083,0,0,150,7050,0,0,17,783
84,0.084,0,0,150,7050,0,0,17,783
85,0.085,0,0,150,7050,0,0,17,783
86,0.086,0,0,150,7050,0,0,17,783
87,0.087,0,0,150,7050,0,0,17,783
88,0.088,0,0,150,7050,0,0,17,783
89,0.089,0,0,150,7050,0,0,17,783
90,0.09,0,0,150,7050,0,0,17,783
91,0.091,0,0,150,7050,0,0,17,783
92,0.092,0,0,150,7050,0,0,17,783
93,0.093,0,0,150,7050,0,0,17,783
94,0.094,0,0,150,7050,0,0,17,783
95,0.095,0,0,150,7050,0,0,17,783
96,0.096,0,0,150,7050,0,0,17,783
97,0.097,0,0,150,7050,0,0,17,783
98,0.098,0,0,150,7050,0,0,17,783
99,0.099,0,0,150,7050,0,0,17,783
100,0.1,0,0,150,7050,0,0,17,783
101,0.2,0,0,150,7050,0,0,17,783
102,0.3,0,0,150,7050,0,0,17,783
103,0.4,0,0,150,7050,0,0,17,783
104,0.5,0,0,150,7050,0,0,17,783
